,,,,,,,Even Strength,Even Strength,Even Strength,Even Strength,,Power Play,Power Play,Power Play,Power Play,,Short Handed,Short Handed,Short Handed,Short Handed,-additional
Rk,Player,Tm,Pos,Shift,GP,,TOI,CF% Rel,GF/60,GA/60,,TOI,CF% Rel,GF/60,GA/60,,TOI,CF% Rel,GF/60,GA/60,-9999
40,Alexander Kerfoot,ARI,C,0:43,82,,12:59,-1.0,2.6,3.4,,1:49,4.0,7.2,1.6,,2:37,-2.6,0.8,9.2,kerfoal01
41,Alexander Nylander,TOT,LW,0:34,28,,14:10,4.1,3.9,4.1,,2:03,7.7,6.4,0.0,,0:00,,0.0,0.0,nylanal01
42,Alexander Petrovic,DAL,D,0:42,1,,12:29,-24.7,4.8,9.6,,0:00,,,,,0:23,,0.0,0.0,petroal01
43,Alexander Romanov,NYI,D,0:48,81,,18:47,-1.8,2.8,2.1,,0:02,-2.3,0.0,0.0,,1:59,0.5,2.2,13.0,romanal01
44,Alexander Wennberg,TOT,C,0:42,79,,14:07,-1.9,2.1,2.4,,1:45,-12.2,7.1,0.0,,2:05,-2.3,0.0,0.0,wennbal01
45,Alexandre Carrier,NSH,D,0:40,73,,16:18,-1.2,2.7,2.5,,0:23,5.4,10.7,0.0,,2:06,-3.6,1.2,8.6,carrial01
46,Alexandre Texier,CBJ,C,0:50,78,,13:01,1.1,2.7,3.1,,0:23,1.0,5.8,0.0,,1:45,-1.0,0.9,8.7,texieal01
47,Alexey Toropchenko,STL,RW,0:45,82,,11:20,-7.4,1.6,2.0,,0:09,4.1,4.7,0.0,,1:01,0.5,2.1,4.3,toropal01
48,Alexis Lafrenière,NYR,LW,0:46,82,,15:58,8.2,3.6,3.3,,1:16,-0.1,5.2,1.7,,0:01,-16.9,0.0,0.0,lafreal01
49,Aliaksei Protas,WSH,C,0:36,78,,12:38,2.2,2.7,2.9,,0:14,-19.8,9.3,0.0,,0:50,-1.3,0.9,3.6,protaal01
50,Anders Lee,NYI,LW,0:38,81,,13:50,5.2,3.0,2.8,,1:43,-1.1,5.6,0.4,,0:00,-8.5,0.0,0.0,leean01
51,André Burakovsky,SEA,LW,0:53,49,,12:16,-0.1,1.5,2.8,,2:16,-1.4,8.1,1.1,,0:00,12.5,0.0,85.7,burakan01
52,Andreas Athanasiou,CHI,C,0:47,28,,12:01,-0.6,2.1,3.4,,1:04,-6.2,4.0,0.0,,0:00,,0.0,0.0,athanan01
53,Andreas Englund,LAK,D,0:41,82,,12:17,-2.6,2.2,2.5,,0:00,12.3,0.0,0.0,,0:55,2.6,1.6,6.4,engluan01
54,Andrei Kuzmenko,TOT,F,0:46,72,,11:44,3.6,2.5,3.5,,3:08,7.6,16.3,1.6,,0:00,-14.6,0.0,0.0,kuzmean01
55,Andrei Svechnikov,CAR,RW,0:37,59,,14:28,0.7,3.3,2.2,,2:29,-2.9,11.8,1.2,,0:01,30.8,0.0,0.0,svechan01
56,Andrew Cogliano,COL,LW/C,0:40,75,,8:20,-2.5,2.4,1.7,,0:00,,0.0,0.0,,2:15,-4.4,1.4,8.9,coglian01
57,Andrew Copp,DET,C,0:41,79,,13:11,-2.6,2.9,3.0,,0:45,-2.6,5.9,3.0,,2:19,-1.5,1.0,9.1,coppan01
58,Andrew Mangiapane,CGY,LW,0:38,75,,14:06,0.5,3.5,3.0,,1:10,-0.1,4.8,2.0,,0:42,-0.1,1.1,4.5,mangian01
59,Andrew Peeke,TOT,D,0:48,38,,14:46,1.6,2.3,2.0,,0:00,,0.0,0.0,,1:36,-1.7,0.0,4.6,peekean01
60,Andrew Poturalski,SEA,C,0:38,2,,6:25,-20.2,0.0,4.7,,0:27,2.7,0.0,0.0,,0:00,,,,poturan01
61,Angus Crookshank,OTT,LW,0:35,13,,9:53,-2.5,2.3,3.7,,0:13,12.3,0.0,0.0,,0:00,,0.0,0.0,crookan01
62,Anthony Beauvillier,TOT,LW,1:00,60,,12:25,0.5,1.4,3.4,,1:08,-20.4,2.2,0.0,,0:01,,0.0,0.0,beauvan01
63,Anthony Cirelli,TBL,C,0:35,79,,14:55,2.5,3.5,3.5,,1:25,1.4,8.5,0.0,,2:10,0.8,0.7,5.6,cirelan01
64,Anthony Duclair,TOT,LW,0:57,73,,13:57,-0.2,2.4,3.1,,1:44,-1.6,9.5,1.7,,0:04,-3.5,0.0,10.7,duclaan01
65,Anthony Mantha,TOT,RW,0:34,74,,12:34,3.0,3.9,2.3,,1:38,6.1,2.2,0.0,,0:00,-10.2,0.0,124.1,manthan01
66,Anthony Richard,BOS,C,0:50,9,,10:36,-11.5,2.5,2.5,,0:00,,,,,0:00,,0.0,0.0,richaan01
67,Anton Blidh,NYR,LW,0:32,1,,5:21,-25.3,0.0,11.2,,0:00,,,,,0:00,,,,blidhan01
68,Anton Lundell,FLA,C,0:40,78,,12:57,1.1,2.8,1.7,,1:09,-2.4,4.6,0.7,,1:14,3.9,1.2,3.7,lundean01
69,Anže Kopitar,LAK,C,0:49,81,,14:46,0.7,3.3,2.7,,3:03,-5.9,9.4,1.4,,1:49,-3.7,1.6,4.9,kopitan01
70,Arber Xhekaj,MTL,D,0:44,44,,14:34,2.9,3.0,2.2,,1:00,-3.2,2.7,2.7,,0:20,-3.9,0.0,12.0,xhekaar01
71,Arshdeep Bains,VAN,F,0:39,8,,11:14,-11.6,0.0,3.3,,0:34,-2.6,0.0,0.0,,0:00,,,,bainsar01
72,Artem Zub,OTT,D,0:50,69,,18:04,0.9,2.9,2.8,,0:07,11.5,0.0,0.0,,2:48,-5.4,1.2,8.9,zubar01
73,Artemi Panarin,NYR,LW,0:44,82,,16:31,11.0,4.0,3.0,,3:35,2.6,12.1,1.2,,0:00,83.4,80.0,0.0,panarar01
74,Arthur Kaliyev,LAK,RW,0:54,51,,10:20,3.9,2.4,2.6,,1:28,1.7,6.4,0.8,,0:00,-11.7,0.0,0.0,kaliyar01
75,Artturi Lehkonen,COL,LW,0:52,45,,13:52,4.5,4.3,3.3,,2:50,3.6,8.4,0.5,,1:44,2.4,0.8,5.3,lehkoar01
76,Austin Czarnik,DET,C,0:36,34,,8:11,-3.5,1.7,2.4,,0:05,14.6,0.0,0.0,,0:09,-10.7,0.0,0.0,czarnau01
77,Austin Watson,TBL,LW,0:36,33,,7:09,-8.9,1.8,1.3,,0:02,-55.5,0.0,0.0,,0:03,-14.9,0.0,0.0,watsoau01
78,Auston Matthews,TOR,C,0:54,81,,16:50,6.7,4.6,3.1,,3:24,8.5,10.4,1.1,,0:42,13.2,1.0,3.1,matthau01
79,Axel Jonsson-Fjällby,WPG,LW,0:53,26,,7:53,3.1,2.3,0.6,,0:00,,,,,0:13,8.8,0.0,10.4,jonssax01
80,Barclay Goodrow,NYR,RW,0:49,80,,10:36,-14.1,1.8,2.8,,0:02,-6.2,18.5,0.0,,1:54,-8.0,0.4,7.8,goodrba01
81,Barrett Hayton,ARI,C,0:45,33,,13:23,8.2,2.4,4.2,,2:30,-4.1,10.9,0.0,,1:07,3.9,0.0,9.7,haytoba01
82,Beck Malenstyn,WSH,LW,0:40,81,,11:36,-7.9,2.3,2.4,,0:01,-3.6,0.0,0.0,,2:36,-1.8,0.3,7.9,malenbe01
83,Ben Chiarot,DET,D,0:42,77,,17:41,-4.3,3.0,3.3,,0:06,-9.1,0.0,0.0,,1:58,-0.4,1.2,10.6,chiarbe01
