#,PLAYER (TEAM),SCOTT PIANOWSKI9/29,YAHOO STAFF9/2,year
1,Nikita Kucherov (TB - RW),1,2,2019
2,"Alex Ovechkin (WSH - LW,F)",3,1,2019
3,"Connor McDavid (EDM - C,F)",2,4,2019
4,Nathan MacKinnon (COL - C),4,3,2019
5,"Sidney Crosby (PIT - C,F)",7,5,2019
6,"Brad Marchand (BOS - LW,F)",6,8,2019
7,"Patrick Kane (DET - RW,F)",5,10,2019
8,"David Pastrnak (BOS - RW,F)",9,14,2019
9,Brent Burns (CAR - D),18,9,2019
10,"Steven Stamkos (TB - C,F)",24,7,2019
11,"Artemi Panarin (NYR - LW,F)",13,18,2019
12,"Johnny Gaudreau (CBJ - LW,F)",14,17,2019
13,"Tyler Seguin (DAL - C,F)",26,6,2019
14,"John Tavares (TOR - C,F)",21,12,2019
15,Ben Bishop (DAL - G),10,24,2019
16,"Taylor Hall (CHI - LW,F)",23,11,2019
17,Andrei Vasilevskiy (TB - G),11,26,2019
18,"Auston Matthews (TOR - C,F)",15,22,2019
19,"Leon Draisaitl (EDM - C,LW)",8,31,2019
20,"Mitchell Marner (TOR - RW,F)",12,30,2019
21,"Vladimir Tarasenko (FLA - RW,F)",35,13,2019
22,"Patrice Bergeron (BOS - C,F)",28,20,2019
23,Sergei Bobrovsky (FLA - G),20,29,2019
24,"Jack Eichel (VGK - C,F)",36,16,2019
25,Erik Karlsson (PIT - D),16,37,2019
26,"Aleksander Barkov Jr. (FLA - C,F)",19,35,2019
27,Marc-Andre Fleury (MIN - G),22,33,2019
28,"Blake Wheeler (NYR - RW,F)",29,28,2019
29,"Patrik Laine (CBJ - LW,RW)",38,21,2019
30,"Gabriel Landeskog (COL - C,LW)",45,15,2019
31,Tuukka Rask (BOS - G),25,36,2019
32,"Claude Giroux (OTT - LW,C,RW)",40,25,2019
33,"Evgeni Malkin (PIT - C,F)",32,38,2019
34,Sebastian Aho (CAR - C),31,40,2019
35,Victor Hedman (TB - D),27,46,2019
36,"Mark Scheifele (WPG - C,F)",39,34,2019
37,"Alex DeBrincat (DET - LW,RW)",37,41,2019
38,Frederik Andersen (CAR - G),43,43,2019
39,"Mikko Rantanen (COL - RW,F)",17,75,2019
40,Pekka Rinne (NSH - G),44,48,2019
41,"Jamie Benn (DAL - C,LW)",76,19,2019
42,"Jonathan Marchessault (VGK - C,LW)",73,23,2019
43,Carey Price (MTL - G),46,54,2019
44,Roman Josi (NSH - D),33,70,2019
45,Kris Letang (PIT - D),48,56,2019
46,"Joe Pavelski (DAL - C,RW,F)",77,32,2019
47,John Gibson (ANA - G),50,60,2019
48,"Brayden Point (TB - C,F)",66,45,2019
49,"Filip Forsberg (NSH - LW,F)",62,50,2019
50,"Evgeny Kuznetsov (CAR - C,F)",51,61,2019
51,"Matthew Tkachuk (FLA - LW,F)",55,58,2019
52,"Logan Couture (SJ - C,F)",63,53,2019
53,"Jake Guentzel (CAR - LW,RW)",41,79,2019
54,Seth Jones (CHI - D),53,69,2019
55,Elias Pettersson (VAN - C),42,81,2019
56,"Sean Monahan (WPG - C,F)",68,55,2019
57,"Alexander Radulov (DAL - RW,F)",58,67,2019
58,John Carlson (WSH - D),30,98,2019
59,Braden Holtby (DAL - G),64,66,2019
60,Torey Krug (STL - D),70,65,2019
61,Jordan Binnington (STL - G),65,73,2019
62,"Nicklas Backstrom (WSH - C,F)",60,80,2019
63,"Sean Couturier (PHI - C,F)",86,57,2019
64,Matt Murray (TOR - G),67,76,2019
65,Ryan O'Reilly (NSH - C),92,52,2019
66,"Jonathan Huberdeau (CGY - LW,F)",59,88,2019
67,"Brayden Schenn (STL - C,LW,F)",105,44,2019
68,"Mark Stone (VGK - RW,F)",54,96,2019
69,"Phil Kessel (VGK - RW,F)",57,93,2019
70,Brock Boeser (VAN - RW),61,90,2019
71,Dylan Larkin (DET - C),85,68,2019
72,Carter Hart (PHI - G),74,82,2019
73,P.K. Subban (NJ - D),34,125,2019
74,"Elias Lindholm (VAN - C,RW,F)",98,64,2019
75,Philipp Grubauer (SEA - G),78,85,2019
76,Mark Giordano (TOR - D),56,110,2019
77,John Klingberg (TOR - D),47,121,2019
78,"Brendan Gallagher (MTL - RW,F)",119,49,2019
79,"Evander Kane (EDM - LW,F)",122,47,2019
80,"Rickard Rakell (PIT - LW, RW)",118,59,2019
81,"Jakub Voracek (FA - LW,RW,F)",69,109,2019
82,Connor Hellebuyck (WPG - G),93,89,2019
83,Dougie Hamilton (NJ - D),107,77,2019
84,Matt Dumba (TB - D),101,83,2019
85,Morgan Rielly (TOR - D),49,136,2019
86,"Tomas Hertl (VGK - C,LW)",71,115,2019
87,Brady Tkachuk (OTT - LW),152,39,2019
88,"Ryan Nugent-Hopkins (EDM - LW,C)",88,103,2019
89,"Timo Meier (NJ - LW,RW)",75,119,2019
90,Martin Jones (TOR - G),94,100,2019
91,"Kyle Palmieri (NYI - RW,F)",124,72,2019
92,Shea Weber (ARI - D),79,117,2019
93,Mika Zibanejad (NYR - C),80,116,2019
94,"Cam Atkinson (PHI - RW,F)",111,86,2019
95,Rasmus Dahlin (BUF - D),89,108,2019
96,"Jeff Skinner (BUF - C,LW)",103,94,2019
97,"Vincent Trocheck (NYR - C,F)",151,51,2019
98,"T.J. Oshie (WSH - RW,F)",132,71,2019
99,"Mike Hoffman (SJ - LW,RW)",116,87,2019
100,"Viktor Arvidsson (LA - LW,RW)",90,120,2019
101,Kaapo Kakko (NYR - RW),108,102,2019
102,Antti Raanta (CAR - G),104,106,2019
103,"Teuvo Teravainen (CAR - LW,RW,F)",82,129,2019
104,Pierre-Luc Dubois (WSH - C),150,63,2019
105,Anders Lee (NYI - LW),175,42,2019
106,"Chris Kreider (NYR - LW,F)",155,62,2019
107,"Evgenii Dadonov (DAL - LW,RW)",91,128,2019
108,Rasmus Ristolainen (PHI - D),142,78,2019
109,Drew Doughty (LA - D),106,114,2019
110,"Jonathan Toews (CHI - C,F)",115,107,2019
111,"Max Pacioretty (WSH - LW,F)",72,152,2019
112,Tyson Barrie (NSH - D),52,179,2019
113,Semyon Varlamov (NYI - G),114,118,2019
114,William Karlsson (VGK - C),131,105,2019
115,Devan Dubnyk (COL - G),110,126,2019
116,Henrik Lundqvist (WSH - G),126,111,2019
117,Jack Hughes (NJ - C),109,134,2019
118,Oliver Ekman-Larsson (FLA - D),97,147,2019
119,"Mathew Barzal (NYI - C,F)",95,157,2019
120,"Anze Kopitar (LA - C,F)",120,133,2019
121,"Nazem Kadri (CGY - C,F)",157,101,2019
122,"Patric Hornqvist (FLA - RW,F)",169,91,2019
123,Dustin Byfuglien (FA - D),239,27,2019
124,"Tom Wilson (WSH - RW,F)",154,113,2019
125,"Max Domi (TOR - C,LW)",129,139,2019
126,"Bo Horvat (NYI - C,F)",138,135,2019
127,Ryan Pulock (NYI - D),179,95,2019
128,Thomas Greiss (STL - G),134,140,2019
129,Darcy Kuemper (LA - G),137,138,2019
130,Charlie McAvoy (BOS - D),113,167,2019
131,Robin Lehner (VGK - G),136,144,2019
132,"Dustin Brown (LA - LW,RW,F)",182,99,2019
133,"Kyle Connor (WPG - LW,F)",99,184,2019
134,"Mikael Granlund (SJ - LW,RW)",158,132,2019
135,Corey Crawford (CHI - G),146,146,2019
136,Aaron Ekblad (FLA - D),125,168,2019
137,Jake Muzzin (TOR - D),166,127,2019
138,Alex Pietrangelo (VGK - D),96,200,2019
139,Justin Faulk (STL - D),159,137,2019
140,"J.T. Miller (VAN - LW,RW)",167,131,2019
141,Zach Werenski (CBJ - D),133,165,2019
142,David Rittich (LA - G),148,150,2019
143,"Anthony Mantha (VGK - LW,RW)",143,156,2019
144,"Ryan Johansen (COL - C,F)",160,141,2019
145,"Nino Niederreiter (WPG - LW,RW)",180,122,2019
146,"Andrei Svechnikov (CAR - LW,RW)",139,164,2019
147,"James van Riemsdyk (BOS - LW,F)",147,158,2019
148,"William Nylander (TOR - C,RW,F)",83,226,2019
149,Petr Mrazek (CHI - G),156,153,2019
150,"Wayne Simmonds (FA - RW,F)",220,97,2019
151,"Matt Duchene (DAL - C,F)",84,234,2019
152,Keith Yandle (PHI - D),81,241,2019
153,Erik Gustafsson (NYR - D),87,235,2019
154,Nico Hischier (NJ - C),162,161,2019
155,Colton Parayko (STL - D),177,148,2019
156,Ryan Ellis (PHI - D),140,188,2019
157,"Josh Anderson (MTL - RW,F)",217,112,2019
158,"Jaden Schwartz (SEA - LW,F)",161,169,2019
159,Tyler Bertuzzi (TOR - LW),188,143,2019
160,"Nikolaj Ehlers (WPG - LW,RW,F)",165,166,2019
