#,PLAYER (TEAM),SCOTT PIANOWSKI9/29,YAHOO STAFF9/2,year
161,Jacob Trouba (NYR - D),123,209,2019
162,"Sam Reinhart (FLA - C,RW,F)",187,151,2019
163,Jacob Markstrom (NJ - G),170,170,2019
164,"Eric Staal (FLA - C,F)",218,123,2019
165,Ivan Provorov (CBJ - D),135,208,2019
166,"Ryan Getzlaf (ANA - C,F)",183,162,2019
167,"Reilly Smith (PIT - RW,F)",172,175,2019
168,Mackenzie Blackwood-DUP (NJ - G),174,180,2019
169,"Jason Zucker (NSH - LW,RW)",229,130,2019
170,Travis Konecny (PHI - RW),200,159,2019
171,"Mats Zuccarello (MIN - RW,F)",141,220,2019
172,Cory Schneider (NYI - G),181,183,2019
173,"David Perron (DET - LW,RW,F)",185,181,2019
174,"Jake DeBrusk (BOS - LW,RW)",195,173,2019
175,Jonathan Quick (NYR - G),186,186,2019
176,"Jordan Eberle (SEA - RW,F)",163,210,2019
177,Kevin Hayes (STL - C),210,163,2019
178,Cale Makar (COL - D),121,253,2019
179,"Gustav Nyquist (NSH - LW,RW,F)",184,197,2019
180,Ryan Suter (DAL - D),145,237,2019
181,Jeff Petry (DET - D),226,160,2019
182,"Mikael Backlund (CGY - C,F)",238,149,2019
183,"Jakob Silfverberg (ANA - RW,F)",201,190,2019
184,Jimmy Howard (DET - G),196,203,2019
185,"Craig Smith (DAL - RW,F)",260,142,2019
186,Alexander Edler (LA - D),173,229,2019
187,Mattias Ekholm (EDM - D),144,261,2019
188,"Lawson Crouse (ARI - LW,F)",,74,2019
189,"David Krejci (BOS - C,F)",222,185,2019
190,"Kevin Labanc (SJ - LW,RW)",202,206,2019
191,"Andreas Athanasiou (CHI - C,LW)",189,222,2019
192,"Boone Jenner (CBJ - C,LW,F)",,84,2019
193,Mike Smith (EDM - G),207,211,2019
194,"Jonathan Drouin (COL - LW,F)",227,192,2019
195,"Micheal Ferland (VAN - LW, RW)",296,124,2019
196,"Tomas Tatar (SEA - LW,RW)",236,187,2019
197,Juuse Saros (NSH - G),209,214,2019
198,"Blake Coleman (CGY - LW,RW)",,92,2019
199,Mikko Koskinen (EDM - G),212,215,2019
200,"Alex Galchenyuk (ARI - C,LW)",176,252,2019
201,"Tyler Johnson (CHI - LW,RW)",230,202,2019
202,Thomas Chabot (OTT - D),100,344,2019
203,"Paul Stastny (FA - C,F)",130,304,2019
204,"Zach Parise (COL - LW,F)",178,256,2019
205,"Clayton Keller (ARI - LW,RW)",102,343,2019
206,"Tyler Toffoli (WPG - C,RW,F)",253,182,2019
207,"Frank Vatrano (ANA - LW, RW)",,104,2019
208,Roope Hintz (DAL - LW),149,288,2019
209,Shayne Gostisbehere (DET - D),153,287,2019
210,Darnell Nurse (EDM - D),243,198,2019
211,Miro Heiskanen (DAL - D),112,345,2019
212,"Ondrej Palat (NJ - LW,F)",274,171,2019
213,"Yanni Gourde (SEA - LW,F)",199,249,2019
214,Shea Theodore (VGK - D),117,346,2019
215,"Jordan Staal (CAR - C,LW,F)",278,174,2019
216,Andreas Johnsson (PIT - LW),191,266,2019
217,"Dylan Strome (WSH - C,F)",127,342,2019
218,Quinn Hughes (VAN - D),128,334,2019
219,Justin Schultz (SEA - D),246,218,2019
220,Mikhail Sergachev (TB - D),164,302,2019
221,"Erik Haula (NJ - C,LW,F)",292,176,2019
222,Jared Spurgeon (MIN - D),225,243,2019
223,"Zach Hyman (EDM - C,F)",250,219,2019
224,"Kasperi Kapanen (STL - RW,F)",231,240,2019
225,Ryan Donato (CHI - LW),192,282,2019
226,"Justin Williams (CAR - RW,F)",321,154,2019
227,"Corey Perry (EDM - RW,F)",262,213,2019
228,"Derek Stepan (CAR - C,F)",249,227,2019
229,Artturi Lehkonen (COL - LW),,145,2019
230,"Jeff Carter (FA - C,F)",251,231,2019
231,Elvis Merzlikins (CBJ - G),224,262,2019
232,"Charlie Coyle (BOS - C,RW,F)",,155,2019
233,"Pavel Buchnevich (STL - LW,F)",206,284,2019
234,"Patrick Marleau (SJ - C,LW,F)",281,216,2019
235,Alexandar Georgiev (COL - G),228,269,2019
236,Esa Lindell (DAL - D),221,279,2019
237,Oscar Klefbom (EDM - D),168,339,2019
238,"Brandon Saad (STL - LW,RW,F)",312,191,2019
239,Josh Morrissey (WPG - D),171,348,2019
240,Nikita Zadorov (VAN - D),,172,2019
241,"Tanner Pearson (MTL - LW,F)",313,193,2019
242,"Adam Henrique (EDM - C,F)",289,217,2019
243,"Richard Panik (NYI - LW,F)",,177,2019
244,"Paul Byron (MTL - LW,F)",,178,2019
245,Cam Talbot (LA - G),259,255,2019
246,"Pat Maroon (BOS - LW,F)",314,204,2019
247,Vince Dunn (SEA - D),197,323,2019
248,"Ryan Reaves (TOR - RW,F)",,189,2019
249,"Nick Foligno (CHI - LW,RW,F)",328,194,2019
250,Filip Hronek (VAN - D),190,349,2019
251,"James Neal (CBJ - RW,F)",234,289,2019
252,Nikita Gusev (TOR - LW),205,319,2019
253,Ryan McDonagh (TB - D),216,308,2019
254,Anthony Cirelli (TB - C),279,246,2019
255,"Marcus Johansson (MIN - LW,RW,F)",193,350,2019
256,Max Comtois (CAR - LW),194,351,2019
257,"Nick Bjugstad (ARI - C,F)",270,257,2019
258,"Milan Lucic (BOS - LW,F)",,195,2019
259,Erik Cernak (TB - D),,196,2019
260,"Josh Bailey (OTT - RW,F)",258,272,2019
261,Mike Green (EDM - D),198,352,2019
262,Radko Gudas (ANA - D),,199,2019
263,Samuel Girard (COL - D),211,322,2019
264,"Leo Komarov (NYI - C,RW,F)",,201,2019
265,James Reimer (DET - G),261,273,2019
266,Ondrej Kase (CAR - RW),203,353,2019
267,"Jakub Vrana (STL - LW,RW,F)",204,354,2019
268,William Carrier (VGK - LW),,205,2019
269,Alex Tuch (BUF - RW),294,245,2019
270,Carter Hutton (ARI - G),264,275,2019
271,"Nick Ritchie (STL - LW,F)",,207,2019
272,Vitali Kravtsov (VAN - RW),208,355,2019
273,Erik Johnson (PHI - D),276,265,2019
274,Adam Lowry (WPG - LW),,212,2019
275,Jake Gardiner (CAR - D),213,356,2019
276,Josh Manson (COL - D),287,259,2019
277,"Alexandre Texier (CBJ - C,LW)",214,360,2019
278,"Mathieu Perreault (MTL - C,LW,F)",315,232,2019
279,"Kyle Okposo (FLA - RW,F)",266,281,2019
280,Devon Toews (COL - D),215,357,2019
281,"Nick Schmaltz (ARI - C,F)",219,347,2019
282,"Zack Kassian (ANA - RW,F)",240,312,2019
283,Matt Niskanen (PHI - D),,221,2019
284,Cam Fowler (ANA - D),223,358,2019
285,Jesperi Kotkaniemi (CAR - C),,223,2019
286,"Alex Killorn (ANA - C,LW,F)",,224,2019
287,"Chris Wagner (COL - C,F)",,225,2019
288,Colin Miller (WPG - D),275,283,2019
289,"Brandon Tanev (SEA - LW,RW,F)",,228,2019
290,"Carl Soderberg (COL - C,F)",,230,2019
291,"Sam Steel (DAL - C,F)",232,361,2019
292,"Andre Burakovsky (SEA - LW,F)",233,362,2019
293,Zach Aston-Reese (DET - LW),,233,2019
294,Travis Sanheim (PHI - D),235,359,2019
295,Brady Skjei (CAR - D),318,250,2019
296,"Cal Clutterbuck (NYI - RW,F)",,236,2019
297,Erik Brannstrom (OTT - D),237,363,2019
298,"Andrew Shaw (CHI - C,RW,F)",332,238,2019
299,"Brock McGinn (ANA - LW,F)",,239,2019
300,Eeli Tolvanen (SEA - LW),241,364,2019
301,Oskar Lindblom (SJ - RW),242,365,2019
302,Ben Chiarot (DET - D),,242,2019
303,Nick Leddy (STL - D),283,292,2019
304,Colin White (MTL - C),244,366,2019
305,Brayden McNabb (VGK - D),,244,2019
306,Filip Zadina (SJ - LW),245,367,2019
307,Adam Fox (NYR - D),282,296,2019
308,"Kyle Turris (EDM - C,F)",273,306,2019
309,"Anthony Beauvillier (NSH - LW,F)",288,291,2019
310,Ilya Kovalchuk (WSH - RW),247,368,2019
311,Teddy Blueger (VAN - LW),,247,2019
312,Will Butcher (PIT - D),248,374,2019
313,"Brock Nelson (NYI - C,LW)",,248,2019
314,"Kevin Fiala (LA - LW,F)",268,314,2019
315,Aaron Dell (LA - G),267,316,2019
316,"Colton Sissons (NSH - C,F)",,251,2019
317,Kevin Shattenkirk (BOS - D),269,315,2019
318,"Jack Roslovic (NYR - C,F)",252,369,2019
319,Kailer Yamamoto (SEA - C),254,370,2019
320,"Vladislav Namestnikov (WPG - C,F)",,254,2019
321,Michael Rasmussen (DET - C),255,371,2019
322,"Joe Thornton (FLA - C,F)",256,372,2019
323,Tyson Jost (BUF - C),257,373,2019
324,"Christian Dvorak (MTL - C,LW,F)",,258,2019
325,Jack Campbell (EDM - G),271,320,2019
326,Noah Hanifin (VGK - D),297,294,2019
327,Jordan Martinook (CAR - LW),,260,2019
328,Duncan Keith (EDM - D),263,376,2019
329,"Bryan Rust (PIT - LW,RW)",,263,2019
330,Dylan Gambrell (TOR - C),,264,2019
331,Roberto Luongo (FA - G),265,387,2019
332,David Savard (MTL - D),,267,2019
333,"Ryan Dzingel (ARI - LW,RW)",,268,2019
334,Johnny Boychuk (NYI - D),,270,2019
335,"Adam Erne (EDM - LW,F)",,271,2019
336,Scott Darling (FA - G),272,375,2019
337,"Joel Armia (MTL - RW,F)",,274,2019
338,Adam Larsson (SEA - D),,276,2019
339,Brandon Montour (FLA - D),277,377,2019
340,Matt Martin (NYI - LW),,277,2019
341,"Ryan Hartman (MIN - RW,F)",,278,2019
342,Sami Vatanen (DAL - D),280,378,2019
343,"Noel Acciari (PIT - C,F)",,280,2019
344,Nolan Patrick (VGK - C),284,379,2019
345,"Mikko Koivu (CBJ - C,F)",285,338,2019
346,Dmitry Orlov (CAR - D),,285,2019
347,Brian Elliott (FA - G),290,328,2019
348,"Ty Rattie (FA - RW,F)",286,380,2019
349,"Austin Watson (TB - LW,F)",,286,2019
350,"Cody Eakin (CGY - C,F)",,290,2019
351,"Valeri Nichushkin (COL - RW,F)",291,381,2019
352,"Conor Sheary (TB - LW,F)",293,382,2019
353,"Bryan Little (ARI - C,RW)",,293,2019
354,"Lars Eller (PIT - C,F)",,295,2019
355,Thatcher Demko (VAN - G),295,,2019
356,Jaccob Slavin (CAR - D),,297,2019
357,Mike Matheson (MTL - D),298,384,2019
358,"Phillip Danault (LA - C,F)",,298,2019
359,"Derick Brassard (FA - C,F)",304,327,2019
360,Cody Ceci (EDM - D),,299,2019
361,Joel Persson (FA - D),299,,2019
362,Hampus Lindholm (BOS - D),300,385,2019
363,Mathieu Joseph (OTT - RW),,300,2019
364,Tyler Myers (VAN - D),301,337,2019
365,"Michael Frolik (STL - C,RW,F)",,301,2019
366,Nikolay Goldobin (FA - LW),302,,2019
367,Dennis Cholowski (NYI - D),303,386,2019
368,"Sam Bennett (FLA - C,F)",,303,2019
369,Austin Wagner (PIT - LW),,305,2019
370,Henri Jokiharju (BUF - D),305,,2019
371,Keith Kinkaid (NJ - G),306,383,2019
372,"Marcus Foligno (MIN - LW,F)",,307,2019
373,"Valentin Zykov (FA - LW,RW,F)",307,,2019
374,Carl Grundstrom (LA - LW),308,,2019
375,"Thomas Vanek (FA - LW,RW,F)",309,,2019
376,Neal Pionk (WPG - D),,309,2019
377,Brent Seabrook (CHI - D),,310,2019
378,"Daniel Sprong (DET - RW,F)",310,,2019
379,"Jean-Gabriel Pageau (NYI - C,F)",,311,2019
380,Casey Mittelstadt (COL - C),311,,2019
381,"Radek Faksa (DAL - C,F)",,313,2019
382,Linus Ullmark (BOS - G),316,,2019
383,"Carl Hagelin (WSH - LW,F)",,317,2019
384,"Oliver Bjorkstrand (SEA - RW,F)",317,,2019
385,Brett Kulak (EDM - D),,318,2019
386,"Alexander Steen (STL - LW,F)",319,,2019
387,"Jesse Puljujarvi (PIT - RW,F)",320,,2019
388,"Cedric Paquette (MTL - C,F)",,321,2019
389,"Alexander Kerfoot (ARI - LW,RW,C)",322,,2019
390,"Alex Wennberg (NYR - C,F)",323,,2019
391,"Sven Baertschi (VGK - LW,F)",324,,2019
392,Brenden Dillon (WPG - D),,324,2019
393,Alec Martinez (VGK - D),325,,2019
394,Alex Iafallo (WPG - C),,325,2019
395,"Brandon Pirri (CHI - C,F)",,326,2019
396,"Danton Heinen (BOS - C,LW,F)",326,,2019
397,Cam Ward (FA - G),327,,2019
398,Craig Anderson (BUF - G),329,,2019
399,"Christian Fischer (DET - RW,F)",,329,2019
400,Marc-Edouard Vlasic (SJ - D),330,,2019
401,Adam Pelech (NYI - D),,330,2019
402,Jaroslav Halak (NYR - G),331,,2019
403,"Tyler Bozak (STL - C,F)",,331,2019
404,"Jake Virtanen (EDM - RW,F)",,332,2019
405,"Josh Archibald (TB - RW,F)",,333,2019
406,Vinnie Hinostroza (PIT - C),,335,2019
407,Sean Kuraly (CBJ - C),,336,2019
408,"Jimmy Vesey (NYR - LW,F)",,340,2019
409,"Brian Boyle (PIT - C,F)",,341,2019
