Rank,Player,Position,year
812,Karson Kuhlman,"LW,RW",2022
813,Paul Byron,"LW,RW",2022
814,Mark Pysyk,"RW,D",2022
815,Jacob Peterson,"C,LW",2022
816,John Hayden,RW,2022
817,Brett Ritchie,RW,2022
818,Josh Brown,D,2022
819,Kurtis MacDermid,"LW,D",2022
820,Devin Shore,"C,LW",2022
821,Jonathan Dahlen,"LW,RW",2022
822,Jacob Bryson,D,2022
823,Trevor van Riemsdyk,D,2022
824,Dysin Mayo,D,2022
825,Danny DeKeyser,D,2022
826,Will Borgen,D,2022
827,Tyler Johnson,"LW,RW",2022
828,Emil Bemstrom,"LW,RW",2022
829,Rasmus Kupari,"C,RW",2022
830,Morgan Frost,"C,LW",2022
831,Kyle Burroughs,D,2022
832,Jordie Benn,D,2022
833,Kris Russell,D,2022
834,Philippe Myers,D,2022
835,Haydn Fleury,D,2022
836,Dakota Joshua,"C,LW",2022
837,MacKenzie Entwistle,"C,RW",2022
838,Nicolas Meloche,D,2022
839,David Krejci,C,2022
840,Gerry Mayhew,"LW,RW",2022
841,Givani Smith,LW,2022
842,Jansen Harkins,"LW,RW",2022
843,Brad Hunt,D,2022
844,Tyler Pitlick,RW,2022
845,Antoine Roussel,LW,2022
846,Nathan Walker,"LW,RW",2022
847,Joe Thornton,"C,LW",2022
848,Sammy Blais,"LW,RW",2022
849,Ryan Poehling,C,2022
850,Dean Kukan,D,2022
851,Cody Eakin,C,2022
852,Mattias Samuelsson,D,2022
853,Klim Kostin,"LW,RW",2022
854,Braden Schneider,D,2022
855,Matt Benning,D,2022
856,Gabriel Vilardi,"LW,RW",2022
857,Jordan Oesterle,D,2022
858,Reese Johnson,"C,RW",2022
859,Josh Archibald,"LW,RW",2022
860,Andy Greene,D,2022
861,Tucker Poolman,D,2022
862,Colton Sceviour,"LW,RW",2022
863,Anton Blidh,"LW,RW",2022
864,Tyler Bozak,C,2022
865,Patrick Brown,C,2022
866,Brad Richardson,"C,LW",2022
867,Jaycob Megna,D,2022
868,Vinni Lettieri,RW,2022
869,Lucas Carlsson,D,2022
870,Gavin Bayreuther,D,2022
871,Kyle Clifford,LW,2022
872,Andrew Ladd,"LW,RW",2022
873,Marc-Edouard Vlasic,D,2022
874,Adam Ruzicka,C,2022
875,Tobias Bjornfot,D,2022
876,Ryan Dzingel,"C,RW",2022
877,Buddy Robinson,RW,2022
878,Yegor Chinakhov,"LW,RW",2022
879,Jeffrey Viel,"LW,RW",2022
880,Ross Johnston,"LW,RW",2022
881,Michael Stone,D,2022
882,Loui Eriksson,"LW,RW",2022
883,James Neal,"LW,RW",2022
884,Brendan Gaunce,"C,LW",2022
885,Gustav Lindstrom,D,2022
886,Ryan Ellis,D,2022
887,Nolan Patrick,"C,RW",2022
888,Cedric Paquette,C,2022
889,Riley Nash,"C,RW",2022
890,Radim Simek,D,2022
891,Shea Weber,D,2022
892,Jordan Spence,D,2022
893,Jonah Gadjovich,"LW,RW",2022
894,Kevin Connauton,D,2022
895,Radim Zohorna,LW,2022
896,William Lagesson,D,2022
897,J.J. Moser,D,2022
898,Miles Wood,LW,2022
899,Ryan Murray,D,2022
900,Gabriel Carlsson,D,2022
901,Aliaksei Protas,"C,LW",2022
902,Sebastian Aho,D,2022
903,Troy Stecher,D,2022
904,Jasper Weatherby,C,2022
905,Connor Dewar,"C,LW",2022
906,Sean Walker,D,2022
907,Nick Seeler,D,2022
908,Jakub Zboril,D,2022
909,Drake Caggiula,"LW,RW",2022
910,Fabian Zetterlund,RW,2022
911,Max Willman,LW,2022
912,Noah Cates,LW,2022
913,Andrej Sekera,D,2022
914,Matt Irwin,D,2022
915,Joel Hanley,D,2022
916,Laurent Dauphin,"C,LW",2022
917,Logan Brown,"C,RW",2022
918,Matt Luff,"LW,RW",2022
919,Jake Leschyshyn,C,2022
920,Mark Jankowski,C,2022
921,Josh Mahura,D,2022
922,Alexander Chmelevski,"C,RW",2022
923,Morgan Barron,"C,LW",2022
924,Quinton Byfield,C,2022
925,Will Butcher,D,2022
926,Mark Friedman,D,2022
927,Brett Leason,RW,2022
928,Anders Bjork,LW,2022
929,Blake Comeau,"LW,RW",2022
930,Kyle Capobianco,D,2022
931,Alexei Toropchenko,"LW,RW",2022
932,Carter Rowney,"C,RW",2022
933,Nils Lundkvist,D,2022
934,Jacob MacDonald,D,2022
935,Casey Fitzgerald,D,2022
936,John Leonard,"LW,RW",2022
937,Oskar Steen,"C,RW",2022
938,Max Jones,LW,2022
939,Alex Barre-Boulet,"C,RW",2022
940,Juuso Valimaki,D,2022
941,Mikhail Maltsev,"C,LW",2022
942,Scott Reedy,"C,RW",2022
943,Kale Clague,D,2022
944,Kole Lind,RW,2022
945,Drew O'Connor,LW,2022
946,Richard Panik,"LW,RW",2022
947,Mike Hardman,"LW,RW",2022
948,Markus Niemelainen,D,2022
949,Nate Thompson,C,2022
950,Josh Leivo,"LW,RW",2022
951,Cody Glass,"C,RW",2022
952,Vladislav Kolyachonok,D,2022
953,Mark Kastelic,C,2022
954,Urho Vaakanainen,D,2022
955,Cam York,D,2022
956,Marian Studenic,"LW,RW",2022
957,Adam Brooks,"C,RW",2022
958,Joe Snively,LW,2022
959,Arttu Ruotsalainen,C,2022
960,Thomas Harley,D,2022
961,Brendan Perlini,"LW,RW",2022
962,Jonas Rondbjerg,"LW,RW",2022
963,Tanner Kero,LW,2022
964,Jalen Chatfield,D,2022
965,Michael Carcone,"LW,RW",2022
966,Kiefer Sherwood,RW,2022
967,Rocco Grimaldi,"LW,RW",2022
968,Thomas Novak,C,2022
969,MacKenzie MacEachern,"LW,RW",2022
970,Andrej Sustr,D,2022
971,Scott Perunovich,D,2022
972,Jayson Megna,"C,RW",2022
973,Axel Jonsson-Fjallby,LW,2022
974,Nick Merkley,"C,RW",2022
975,Colton White,D,2022
976,Leo Komarov,"LW,RW",2022
977,Austin Czarnik,"C,RW",2022
978,Dylan Samberg,D,2022
979,Mathieu Olivier,RW,2022
980,Jonny Brodzinski,"C,RW",2022
981,Lias Andersson,"C,LW",2022
982,Greg McKegg,"C,LW",2022
983,Corey Schueneman,D,2022
984,Ben Harpur,D,2022
985,Phillip Di Giuseppe,"LW,RW",2022
986,Henrik Borgstrom,"C,LW",2022
987,Austin Wagner,"LW,RW",2022
988,Greg Pateryn,D,2022
989,Justin Dowling,LW,2022
990,Slater Koekkoek,D,2022
991,Jake Virtanen,RW,2022
992,Chris Wagner,"LW,RW",2022
993,Sami Niku,D,2022
994,Nathan Beaulieu,D,2022
995,Lane Pederson,"C,RW",2022
996,Bobby Ryan,"LW,RW",2022
997,Brett Murray,LW,2022
998,Nikolai Knyzhov,D,2022
999,Isaac Ratcliffe,LW,2022
1000,Anthony Angello,RW,2022
1001,Beck Malenstyn,LW,2022
1002,Nathan Smith,C,2022
1003,Tyler Benson,LW,2022
1004,Michael Sgarbossa,C,2022
1005,Derrick Pouliot,D,2022
1006,Nolan Foote,LW,2022
1007,Dmitrij Jaskin,"LW,RW",2022
1008,Ryan Merkley,D,2022
1009,Markus Nutivaara,D,2022
1010,Carson Meyer,RW,2022
1011,Jaret Anderson-Dolan,C,2022
1012,Kevin Bahl,D,2022
1013,Olli Juolevi,D,2022
1014,Cam Dineen,D,2022
1015,Jan Jenik,RW,2022
1016,Ronnie Attard,D,2022
1017,William Lockwood,RW,2022
1018,Jesse Ylonen,RW,2022
1019,Matt Tennyson,D,2022
1020,Ville Heinola,D,2022
1021,Brett Connolly,"LW,RW",2022
1022,Mason McTavish,LW,2022
1023,Jack Studnicka,C,2022
1024,Benoit-Olivier Groulx,C,2022
1025,Jacob Moverare,D,2022
1026,Calle Rosen,D,2022
1027,Mason Geertsen,"LW,D",2022
1028,Kyle Turris,RW,2022
1029,Brandon Sutter,"C,RW",2022
1030,Ty Dellandrea,"C,RW",2022
1031,Victor Mete,D,2022
1032,Robin Salo,D,2022
1033,Jason Demers,D,2022
1034,Kevin Stenlund,"C,RW",2022
1035,A.J. Greer,LW,2022
1036,Jay Beagle,C,2022
1037,Shane Pinto,C,2022
1038,Paul Cotter,C,2022
1039,Alec Regula,D,2022
1040,Taro Hirose,LW,2022
1041,Nick Blankenburg,D,2022
1042,Sheldon Dries,LW,2022
1043,Lassi Thomson,D,2022
1044,Nic Petan,"LW,RW",2022
1045,Grant Hutton,D,2022
1046,Max McCormick,LW,2022
1047,Jack McBain,C,2022
1048,Marc McLaughlin,RW,2022
1049,Thomas Bordeleau,C,2022
1050,Bobby Brink,RW,2022
1051,Petteri Lindbohm,D,2022
1052,Calen Addison,D,2022
1053,Jarred Tinordi,D,2022
1054,Jesper Froden,RW,2022
1055,Gabriel Fortier,LW,2022
1056,Wade Allison,RW,2022
1057,Clark Bishop,"C,LW",2022
1058,Pierre-Olivier Joseph,D,2022
1059,Kristian Reichel,"C,RW",2022
1060,Eric Staal,C,2022
1061,Mitchell Stephens,C,2022
1062,Austin Strand,D,2022
1063,John Moore,D,2022
1064,Jordan Harris,D,2022
1065,Artem Anisimov,"C,LW",2022
1066,Martin Frk,"LW,RW",2022
1067,Steven Kampfer,D,2022
1068,Michael Dal Colle,"LW,RW",2022
1069,Alex Belzile,RW,2022
1070,Jake Gardiner,D,2022
1071,Hayden Hodgson,RW,2022
1072,Logan Shaw,"C,RW",2022
1073,Jacob Larsson,D,2022
1074,Matias Maccelli,LW,2022
1075,Brad Malone,"C,LW",2022
1076,Michal Kempny,D,2022
1077,Jack Drury,C,2022
1078,Conor Timmins,D,2022
1079,Alex Vlasic,D,2022
1080,Josiah Slavin,"C,LW",2022
1081,Dennis Cholowski,D,2022
1082,Wyatt Kalynuk,D,2022
1083,Alexander True,C,2022
1084,Philip Broberg,D,2022
1085,Liam Foudy,"C,RW",2022
1086,Kurtis Gabriel,RW,2022
1087,Daniil Miromanov,D,2022
1088,Nicholas Robertson,LW,2022
1089,Jacob Bernard-Docker,D,2022
1090,Riley Damiani,C,2022
1091,Libor Hajek,D,2022
1092,Austin Poganski,RW,2022
1093,Nikita Okhotiuk,D,2022
1094,Jayce Hawryluk,"LW,RW",2022
1095,Kyle Criscuolo,C,2022
1096,Connor Mackey,D,2022
1097,Rhett Gardner,"C,LW",2022
1098,Noah Juulsen,D,2022
1099,Alex Turcotte,C,2022
1100,Nick Caamano,RW,2022
1101,Jake Christiansen,D,2022
1102,Jack Quinn,RW,2022
1103,Christian Wolanin,D,2022
1104,Jake Neighbours,LW,2022
1105,Andrew Poturalski,C,2022
1106,Scott Sabourin,RW,2022
1107,Carl Dahlstrom,D,2022
1108,Adam Raska,RW,2022
1109,Ian Mitchell,D,2022
1110,Grigori Denisenko,LW,2022
1111,Nicolas Beaudin,D,2022
1112,Riley Tufte,LW,2022
1113,Jeremy Davies,D,2022
1114,Dillon Heatherington,D,2022
1115,Jack Rathbone,D,2022
1116,Justin Barron,D,2022
1117,Trey Fix-Wolansky,RW,2022
1118,Victor Soderstrom,D,2022
1119,Jayden Halbgewachs,LW,2022
1120,Tim Gettinger,LW,2022
1121,Otto Koivula,C,2022
1122,Nick Abruzzese,LW,2022
1123,Andy Andreoff,LW,2022
1124,Frederik Gauthier,"C,RW",2022
1125,Andy Welinski,D,2022
1126,Mattias Norlinder,D,2022
1127,Rafael Harvey-Pinard,LW,2022
1128,Stefan Noesen,RW,2022
1129,Maxime Lajoie,D,2022
1130,Stefan Matteau,"LW,RW",2022
1131,Dylan Sikura,"LW,RW",2022
1132,Dan Renouf,D,2022
1133,Kyle Rau,"C,RW",2022
1134,Zac Dalpe,"C,RW",2022
1135,Martin Kaut,RW,2022
1136,Connor Bunnaman,C,2022
1137,Dakota Mermis,D,2022
1138,Joey Anderson,RW,2022
1139,Kole Sherwood,RW,2022
1140,Alexander Holtz,RW,2022
1141,Matthew Peca,"C,LW",2022
1142,Chase Priskie,D,2022
1143,Cole Smith,LW,2022
1144,Alex Biega,D,2022
1145,Justin Bailey,"LW,RW",2022
1146,Jack Ahcan,D,2022
1147,Valtteri Puustinen,RW,2022
1148,Lukas Vejdemo,LW,2022
1149,Cale Fleury,D,2022
1150,Vitali Kravtsov,RW,2022
1151,Nathan Gerbe,"LW,RW",2022
1152,Fredrik Karlstrom,C,2022
1153,Jackson Cates,"C,LW",2022
1154,Scott Harrington,D,2022
1155,Garrett Pilon,C,2022
1156,Anthony Bitetto,D,2022
1157,Ryan MacInnis,RW,2022
1158,Linus Hogberg,D,2022
1159,Bokondji Imama,LW,2022
1160,Joseph Cramarossa,"C,LW",2022
1161,Mitchell Chaffee,RW,2022
1162,Fredrik Claesson,D,2022
1163,Johnathan Kovacevic,D,2022
1164,Steven Santini,D,2022
1165,Luke Johnson,C,2022
1166,Joel L'Esperance,"C,RW",2022
1167,Zac Jones,D,2022
1168,Jakub Galvas,D,2022
1169,Kristians Rubins,D,2022
1170,Hudson Fasching,RW,2022
1171,Andrew Agozzino,"C,LW",2022
1172,Darren Raddysh,D,2022
1173,Glenn Gawdin,C,2022
1174,Ben McCartney,LW,2022
1175,Gemel Smith,"C,LW",2022
1176,Declan Chisholm,D,2022
1177,Aleksi Heponiemi,C,2022
1178,Connor Carrick,D,2022
1179,Tyler Lewington,D,2022
1180,Jordan Gross,D,2022
1181,Ben Meyers,C,2022
1182,Zach Senyshyn,RW,2022
1183,Lucas Johansen,D,2022
1184,Byron Froese,"C,RW",2022
1185,Xavier Ouellet,D,2022
1186,Steven Fogarty,"C,RW",2022
1187,Mason Shaw,C,2022
1188,Tyce Thompson,RW,2022
1189,Tarmo Reunanen,D,2022
1190,Reilly Walsh,D,2022
1191,Josh Dunne,C,2022
1192,Chase Pearson,C,2022
1193,Adam Beckman,LW,2022
1194,Ethan Prow,D,2022
1195,Zachary Hayes,D,2022
1196,Brandon Baddock,LW,2022
1197,Danny O'Regan,C,2022
1198,Thomas Hickey,D,2022
1199,David Farrance,D,2022
1200,Tanner Laczynski,C,2022
1201,Cooper Marody,C,2022
1202,Sampo Ranta,LW,2022
1203,Ben Jones,C,2022
1204,Hunter Drew,RW,2022
1205,Justin Richards,C,2022
1206,Seth Griffith,"C,LW",2022
1207,T.J. Tynan,RW,2022
1208,JJ Peterka,RW,2022
1209,Carsen Twarynski,LW,2022
1210,Brett Seney,"C,LW",2022
1211,Jon Lizotte,D,2022
1212,Isaak Phillips,D,2022
1213,Alex Steeves,LW,2022
1214,Zac Rinaldo,"C,LW",2022
1215,Kaedan Korczak,D,2022
1216,Viktor Lodin,C,2022
1217,Brandon Davidson,D,2022
1218,Cole Reinhardt,LW,2022
1219,Jeff Malott,LW,2022
1220,Bryce Kindopp,RW,2022
1221,Cameron Hillis,C,2022
1222,Joey Keane,D,2022
1223,C.J. Suess,LW,2022
1224,Chase De Leo,C,2022
1225,Matt Kiersted,D,2022
1226,Daniel Walcott,LW,2022
1227,Aaron Ness,D,2022
1228,Michael Eyssimont,C,2022
1229,Linus Sandin,RW,2022
1230,Luca Sbisa,D,2022
1231,Egor Sokolov,LW,2022
1232,Keaton Middleton,D,2022
1233,Brogan Rafferty,D,2022
1234,Luke Witkowski,"RW,D",2022
1235,Alexander Alexeyev,D,2022
1236,Brandon Biro,LW,2022
1237,Matthew Phillips,C,2022
1238,Brinson Pasichnuk,D,2022
1239,Cameron Hughes,C,2022
1240,Dennis Gilbert,D,2022
1241,Louie Belpedio,D,2022
1242,Samuel Fagemo,LW,2022
1243,Sean Malone,C,2022
1244,Turner Elson,LW,2022
1245,Riley Barber,RW,2022
1246,Otto Leskinen,D,2022
1247,Brady Keeper,D,2022
1248,Sheldon Rempal,"LW,RW",2022
1249,Calle Odelius,D,2022
1250,David Cotton,C,2022
1251,Chris Terry,"LW,RW",2022
1252,Joe Fleming,D,2022
1253,Adam Cracknell,"C,RW",2022
1254,Frederic Brunet,D,2022
1255,Cross Hanas,LW,2022
1256,Luke Esposito,"C,LW",2022
1257,Pierre-Cedrick Labrie,LW,2022
1258,Dylan MacPherson,D,2022
1259,Ozzy Wiesblatt,RW,2022
1260,Spencer Sova,D,2022
1261,Josh Healey,D,2022
1262,Alex Peters,D,2022
1263,Cole Guttman,C,2022
1264,Erik Brown,LW,2022
1265,Cameron Gaunce,D,2022
1266,Luca Del Bel Belluz,C,2022
1267,Maxim Letunov,C,2022
1268,Kyle Masters,D,2022
1269,Simon Motew,D,2022
1270,Blake Hillman,D,2022
1271,Jachym Kondelik,C,2022
1272,Nils Aman,C,2022
1273,Jerad Rosburg,D,2022
1274,Mitch Vande Sompel,D,2022
1275,Drew Helleson,D,2022
1276,Justin Kirkland,LW,2022
1277,Chandler Romeo,D,2022
1278,Olen Zellweger,D,2022
1279,Noah Philp,C,2022
1280,Danick Martel,LW,2022
1281,Kenny Agostino,LW,2022
1282,Filip Roos,D,2022
1283,Sasha Pastujov,RW,2022
1284,Daniil Chayka,D,2022
1285,Simon Holmstrom,RW,2022
1286,Jackson Edward,D,2022
1287,Chase Wouters,C,2022
1288,Nathan Gaucher,C,2022
1289,Xavier Simoneau,C,2022
1290,Emil Heineman,LW,2022
1291,Kyle Marino,C,2022
1292,Luke Prokop,D,2022
1293,Zach Berzolla,D,2022
1294,Cole Schneider,LW,2022
1295,Garrett Wilson,"LW,RW",2022
1296,Dylan Guenther,RW,2022
1297,Filip Bratt,D,2022
1298,Max Veronneau,RW,2022
1299,Ryan McGregor,C,2022
1300,Spencer Stastney,D,2022
1301,Reece Vitelli,RW,2022
1302,Kaleb Lawrence,RW,2022
1303,David Jiricek,D,2022
1304,Juuso Parssinen,C,2022
1305,Colin Theisen,LW,2022
1306,John Ludvig,D,2022
1307,Vsevolod Komarov,D,2022
1308,Jaydon Dureau,LW,2022
1309,Roland McKeown,D,2022
1310,Reece Newkirk,C,2022
1311,Maxim Marushev,C,2022
1312,Declan Carlile,D,2022
1313,Marshall Rifai,D,2022
1314,Nick Cicek,D,2022
1315,Peetro Seppala,D,2022
1316,Theo Rochette,C,2022
1317,Maveric Lamoureux,D,2022
1318,Ty Glover,C,2022
1319,Luke Philp,C,2022
1320,Simon Ryfors,C,2022
1321,Bobby Nardella,D,2022
1322,Joshua Lopina,C,2022
1323,Semyon Der-Arguchintsev,C,2022
1324,Michael Milne,LW,2022
1325,Brennan Othmann,LW,2022
1326,Alex Beaucage,RW,2022
1327,Roman Schmidt,D,2022
1328,Dawson Barteaux,D,2022
1329,Justin Nachbaur,LW,2022
1330,Shane Gersich,"C,LW",2022
1331,Alexander Pashin,RW,2022
1332,Jake Karabela,C,2022
1333,Dominik Shine,RW,2022
1334,Donovan Sebrango,D,2022
1335,Noah Warren,D,2022
1336,Lauri Pajuniemi,RW,2022
1337,Elias Salomonsson,D,2022
1338,Boo Nieves,"C,LW",2022
1339,Eduards Tralmaks,LW,2022
1340,Kyle Jackson,C,2022
1341,Ryan Jones,D,2022
1342,Yauheni Aksiantsiuk,LW,2022
1343,Alex Kannok-Leipert,D,2022
1344,Oskar Back,C,2022
1345,Ryker Evans,D,2022
1346,Cole Jordan,D,2022
1347,Nikita Alexandrov,C,2022
1348,Georgii Merkulov,LW,2022
1349,Connor McCarthy,D,2022
1350,Callahan Burke,C,2022
1351,Jordan Gustafson,C,2022
1352,Maxim Golod,LW,2022
1353,Ryan Mast,D,2022
1354,Jack Dugan,LW,2022
1355,Ridly Greig,C,2022
1356,Braeden Kressler,C,2022
1357,Yushiro Hirano,RW,2022
1358,Dillon Hamaliuk,LW,2022
1359,Lukas Rousek,RW,2022
1360,Matthew Wedman,C,2022
1361,David Goyette,C,2022
1362,Zack Bolduc,C,2022
1363,Evan Vierling,C,2022
1364,Mats Lindgren,D,2022
1365,Pavol Regenda,RW,2022
1366,Timur Ibragimov,LW,2022
1367,Layton Ahac,D,2022
1368,Jacob Doty,C,2022
1369,Eemil Viro,D,2022
1370,Matyas Sapovaliv,C,2022
1371,Samuel Asselin,C,2022
1372,Tommy Apap,LW,2022
1373,Samuel Huo,RW,2022
1374,Brandt Clarke,D,2022
1375,Rory Kerins,C,2022
1376,Alex Whelan,RW,2022
1377,Isak Rosen,RW,2022
1378,Wyatte Wylie,D,2022
1379,Darien Kielb,D,2022
1380,Nathan Todd,C,2022
1381,Tobie Bisson,D,2022
1382,Josh Pillar,C,2022
1383,Felix Robert,C,2022
1384,Bobby Trivigno,LW,2022
1385,Filip Johansson,D,2022
1386,Nathan Legare,RW,2022
1387,Drew Worrad,C,2022
1388,Ryan Suzuki,C,2022
1389,Joel Teasdale,LW,2022
1390,Marc-Andre Gaudet,D,2022
1391,Justin Scott,"C,RW",2022
1392,Ronan Seeley,D,2022
1393,Pierrick Dube,RW,2022
1394,Jakub Pour,RW,2022
1395,Saku Maenalanen,RW,2022
1396,Dylan Holloway,C,2022
1397,Curtis Hall,C,2022
1398,Logan Hutsko,RW,2022
1399,Ryan Francis,RW,2022
1400,Cameron Hausinger,RW,2022
1401,Case McCarthy,D,2022
1402,Griffin Mendel,D,2022
1403,Michael Mersch,LW,2022
1404,Kyle MacLean,LW,2022
1405,Spencer Foo,"C,RW",2022
1406,Jake Furlong,D,2022
1407,Lucas Ciona,LW,2022
1408,Anthony Richard,C,2022
1409,Henry Rybinski,RW,2022
1410,Keaton Thompson,D,2022
1411,Kai Schwindt,LW,2022
1412,Jimmy Lambert,RW,2022
1413,Zachary L'Heureux,LW,2022
1414,Adam Ginning,D,2022
1415,Jakub Demek,C,2022
1416,Adam Klapka,RW,2022
1417,Artem Grushnikov,D,2022
1418,Gabriel Bourque,"LW,RW",2022
1419,Riley McKay,LW,2022
1420,Filip Cederqvist,LW,2022
1421,Matej Pekar,C,2022
1422,Nolan Collins,D,2022
1423,Gavin White,D,2022
1424,Taylor Ward,RW,2022
1425,Joseph Blandisi,"C,LW",2022
1426,Cal O'Reilly,C,2022
1427,Brian Halonen,LW,2022
1428,Logan Morrison,C,2022
1429,Joona Koppanen,LW,2022
1430,Sam Laberge,LW,2022
1431,Jeff Kubiak,C,2022
1432,Malte Stromwall,RW,2022
1433,Jalen Luypen,C,2022
1434,Cavan Fitzgerald,D,2022
1435,Parker Wotherspoon,D,2022
1436,Ryan Lohin,C,2022
1437,Billy Sweezey,D,2022
1438,Philippe Daoust,C,2022
1439,Brandon Coe,RW,2022
1440,Benjamin Finkelstein,D,2022
1441,Gianni Fairbrother,D,2022
1442,Jake Chiasson,C,2022
1443,Connor Ford,RW,2022
1444,Xavier Bernard,D,2022
1445,Nate Clurman,D,2022
1446,Mikhail Abramov,C,2022
1447,Pontus Holmberg,RW,2022
1448,Lucas Feuk,LW,2022
1449,Joseph Cecconi,D,2022
1450,Brady Lyle,D,2022
1451,Ronald Knot,D,2022
1452,Nick Jones,C,2022
1453,Conor Geekie,C,2022
1454,Ryan Shea,D,2022
1455,Jake Bischoff,D,2022
1456,Jacob Wilson,D,2022
1457,Jamieson Rees,C,2022
1458,Stelio Mattheos,RW,2022
1459,Aleksandr Kisakov,LW,2022
1460,Jacob Holmes,D,2022
1461,Olivier Galipeau,D,2022
1462,Jake Lee,D,2022
1463,Spencer Smallman,RW,2022
1464,Logan Day,D,2022
1465,Simon Johansson,D,2022
1466,Lucas Edmonds,RW,2022
1467,Tnias Mathurin,D,2022
1468,Joseph Gambardella,"C,LW",2022
1469,Josiah Didier,D,2022
1470,Tim Schaller,"C,LW",2022
1471,Odeen Tufto,C,2022
1472,Sam Houde,C,2022
1473,Leon Gawanke,D,2022
1474,Bennett MacArthur,LW,2022
1475,Tye Kartye,C,2022
1476,Will Bitten,RW,2022
1477,Anthony Beauregard,RW,2022
1478,Mathias Emilio Pettersen,C,2022
1479,Marc Del Gaizo,D,2022
1480,Arshdeep Bains,LW,2022
1481,Tyler Tullio,RW,2022
1482,Lawrence Pilut,D,2022
1483,Colin Swoyer,D,2022
1484,Lukas Svejkovsky,"C,RW",2022
1485,Henry Bowlby,C,2022
1486,Patrick Khodorenko,C,2022
1487,Kevin Gravel,D,2022
1488,Brett Kemp,C,2022
1489,Julian Lutz,LW,2022
1490,Trevor Carrick,D,2022
1491,Thomas Di Pauli,RW,2022
1492,Tyrel Bauer,D,2022
1493,Anton Levtchi,LW,2022
1494,German Rubtsov,C,2022
1495,Jordan Dumais,RW,2022
1496,Ilya Solovyov,D,2022
1497,Roni Hirvonen,C,2022
1498,Tyler Madden,C,2022
1499,Jack Beck,RW,2022
1500,Dylan McLaughlin,C,2022
1501,Elliot Desnoyers,LW,2022
1502,David Gust,RW,2022
1503,Cristiano DiGiacinto,LW,2022
1504,Tanner Fritz,C,2022
1505,Owen Sillinger,LW,2022
1506,Rodion Amirov,LW,2022
1507,Zach Giuttari,D,2022
1508,Josh Davies,LW,2022
1509,Tyler Wotherspoon,D,2022
1510,Conner Roulette,LW,2022
1511,Dillon Simpson,D,2022
1512,Jake Massie,D,2022
1513,Owen Beck,C,2022
1514,Jake Gaudet,C,2022
1515,Matthew Seminoff,RW,2022
1516,Sammy Walker,C,2022
1517,Miguel Tourigny,D,2022
1518,Jakub Lauko,C,2022
1519,Ty Nelson,D,2022
1520,Oskari Laaksonen,D,2022
1521,Francesco Pinelli,C,2022
1522,Jett Woo,D,2022
1523,Noah Laaouan,D,2022
1524,Tristen Nielsen,C,2022
1525,Owen Pickering,D,2022
1526,Lukas Sedlak,"LW,RW",2022
1527,Ben Hemmerling,RW,2022
1528,Bobby Orr,RW,2022
1529,Tommy Miller,D,2022
1530,Matt Marcinew,C,2022
1531,Brett Gallant,LW,2022
1532,Patrick Giles,C,2022
1533,Kyle McDonald,RW,2022
1534,Jiri Kulich,C,2022
1535,Jarrod Gourley,D,2022
1536,Sandis Vilmanis,LW,2022
1537,Jimmy Schuldt,D,2022
1538,Jack St. Ivany,D,2022
1539,Ryan MacKinnon,D,2022
1540,Mark Liwiski,LW,2022
1541,Brennan Menell,D,2022
1542,Wyatt Johnston,C,2022
1543,Simon Lundmark,D,2022
1544,Niclas Almari,D,2022
1545,Vincent Arseneau,LW,2022
1546,Mike O'Leary,LW,2022
1547,Paul Ludwinski,C,2022
1548,Evan Barratt,C,2022
1549,Zac Jordan,RW,2022
1550,Jared McIsaac,D,2022
1551,Brandon Gignac,C,2022
1552,Liam Arnsby,C,2022
1553,Lukas Klok,D,2022
1554,Julien Anctil,C,2022
1555,Axel Andersson,D,2022
1556,Rob Hamilton,D,2022
1557,Andong Song,D,2022
1558,Seamus Malone,C,2022
1559,Kirill Kudryavtsev,D,2022
1560,Kyle Olson,RW,2022
1561,Andre Lee,LW,2022
1562,Pavel Gogolev,LW,2022
1563,Riley Sutter,RW,2022
1564,Cole Bardreau,C,2022
1565,Cole Hults,D,2022
1566,Evan Boucher,LW,2022
1567,Jamie Devane,LW,2022
1568,Matthew Poitras,C,2022
1569,Austin Rueschhoff,RW,2022
1570,Ryan Wagner,LW,2022
1571,Pontus Andreasson,C,2022
1572,Ethan Keppen,LW,2022
1573,Karel Plasek,RW,2022
1574,Kevin Korchinski,D,2022
1575,Denton Mateychuk,D,2022
1576,Jordy Bellerive,C,2022
1577,Samuel Helenius,C,2022
1578,Daemon Hunt,D,2022
1579,Isaiah George,D,2022
1580,Adam Edstrom,C,2022
1581,Tyler Spezia,LW,2022
1582,Ethan Cardwell,RW,2022
1583,Cole Koepke,LW,2022
1584,Max Wanner,D,2022
1585,Matvey Petrov,LW,2022
1586,Alex-Olivier Voyer,RW,2022
1587,Cooper Zech,D,2022
1588,Ben Boyd,LW,2022
1589,Liam Ohgren,LW,2022
1590,Tyson Hinds,D,2022
1591,Wyatt Aamodt,D,2022
1592,Raivis Ansons,RW,2022
1593,Riley Piercey,RW,2022
1594,Jonathan Aspirot,D,2022
1595,Ryan McCleary,D,2022
1596,Michael Regush,RW,2022
1597,Luke Toporowski,LW,2022
1598,Tristen Robins,RW,2022
1599,Vincent Iorio,D,2022
1600,Noel Hoefenmayer,D,2022
1601,Brett Stapley,C,2022
