Rank,Player,Position,year
187,Mikhail Sergachev,D,2022
188,Andrew Mangiapane,"LW,RW",2022
189,Viktor Arvidsson,"LW,RW",2022
190,Jeff Skinner,LW,2022
191,Oliver Wahlstrom,RW,2022
192,Arthur Kaliyev,"LW,RW",2022
193,Linus Ullmark,G,2022
194,Jeff Petry,D,2022
195,Charlie McAvoy,D,2022
196,Vince Dunn,D,2022
197,Filip Chytil,"C,RW",2022
198,Damon Severson,D,2022
199,Gustav Forsling,D,2022
200,Tyler Bertuzzi,"LW,RW",2022
201,Matt Dumba,D,2022
202,Anders Lee,LW,2022
203,Logan Couture,C,2022
204,Tyler Seguin,"C,RW",2022
205,James Reimer,G,2022
206,Nick Schmaltz,"C,RW",2022
207,Ivan Provorov,D,2022
208,Travis Konecny,RW,2022
209,Anthony Duclair,RW,2022
210,Pyotr Kochetkov,G,2022
211,Anthony Mantha,"LW,RW",2022
212,Andre Burakovsky,"LW,RW",2022
213,Nicklas Backstrom,C,2022
214,Alex Formenton,LW,2022
215,Philip Tomasino,RW,2022
216,Cole Perfetti,"C,RW",2022
217,Connor McMichael,"C,LW",2022
218,Kirby Dach,"C,RW",2022
219,William Eklund,LW,2022
220,K'Andre Miller,D,2022
221,Dylan Strome,"C,RW",2022
222,Hendrix Lapierre,C,2022
223,Ryan Strome,C,2022
224,Sean Durzi,D,2022
225,Mike Smith,G,2022
226,Chandler Stephenson,"C,RW",2022
227,Jake DeBrusk,"LW,RW",2022
228,Frank Vatrano,"LW,RW",2022
229,Phillip Danault,C,2022
230,Adam Boqvist,D,2022
231,Alex Killorn,"LW,RW",2022
232,Artturi Lehkonen,"LW,RW",2022
233,Jakob Chychrun,D,2022
234,Oliver Bjorkstrand,RW,2022
235,Jared McCann,"C,LW",2022
236,Shane Wright,C,2022
237,Peyton Krebs,"C,LW",2022
238,Trevor Moore,"LW,RW",2022
239,Marco Rossi,C,2022
240,Yegor Sharangovich,"C,LW",2022
241,Kent Johnson,LW,2022
242,Cole Sillinger,C,2022
243,Victor Olofsson,RW,2022
244,Alec Martinez,D,2022
245,Connor Brown,RW,2022
246,Lawson Crouse,"LW,RW",2022
247,Max Pacioretty,LW,2022
248,Samuel Girard,D,2022
249,Tom Wilson,RW,2022
250,Ukko-Pekka Luukkonen,G,2022
251,Vincent Trocheck,C,2022
252,Anthony Stolarz,G,2022
253,Nino Niederreiter,LW,2022
254,Marcus Foligno,"LW,RW",2022
255,Jordan Staal,C,2022
256,Blake Coleman,"LW,RW",2022
257,Radko Gudas,D,2022
258,Casey DeSmith,G,2022
259,Jamie Benn,"C,LW",2022
260,Conor Garland,"LW,RW",2022
261,Neal Pionk,D,2022
262,Mikael Granlund,C,2022
263,Eric Comrie,G,2022
264,Spencer Martin,G,2022
265,Charlie Lindgren,G,2022
266,Josh Morrissey,D,2022
267,Adin Hill,G,2022
268,Tyson Barrie,D,2022
269,Mikael Backlund,C,2022
270,Garnet Hathaway,RW,2022
271,Brian Elliott,G,2022
272,Jesse Puljujarvi,RW,2022
273,Jeff Carter,C,2022
274,Jean-Gabriel Pageau,C,2022
275,Dan Vladar,G,2022
276,Jaccob Slavin,D,2022
277,Robin Lehner,G,2022
278,Zach Fucale,G,2022
279,Rickard Rakell,"LW,RW",2022
280,Craig Smith,RW,2022
281,Jakub Voracek,"LW,RW",2022
282,Evan Rodrigues,"LW,RW",2022
283,Stuart Skinner,G,2022
284,Joseph Woll,G,2022
285,Dmitry Orlov,D,2022
286,Louis Domingue,G,2022
287,Michael Houser,G,2022
288,Chris Driedger,G,2022
289,Martin Necas,RW,2022
290,Daniil Tarasov,G,2022
291,Garret Sparks,G,2022
292,Keith Kinkaid,G,2022
293,Mason Marchment,"LW,RW",2022
294,Brady Skjei,D,2022
295,Anthony Cirelli,"C,LW",2022
296,Alex Iafallo,LW,2022
297,Kaapo Kahkonen,G,2022
298,Brandon Saad,LW,2022
299,Troy Grosenick,G,2022
300,Jordan Greenway,LW,2022
301,Kevin Mandolese,G,2022
302,Clay Stevenson,G,2022
303,Henrik Tikkanen,G,2022
304,Gage Alexander,G,2022
305,Jesper Wallstedt,G,2022
306,Olof Lindbom,G,2022
307,Kaden Fulcher,G,2022
308,John Lethemon,G,2022
309,Taylor Gauthier,G,2022
310,Keith Petruzzelli,G,2022
311,Tristan Lennox,G,2022
312,Riley Mercer,G,2022
313,Jacob Ingham,G,2022
314,Will Cranley,G,2022
315,Jakub Vondras,G,2022
316,Andrew Oke,G,2022
317,David Hrenak,G,2022
318,Patrik Hamrla,G,2022
319,Evan Cormier,G,2022
320,Jan Bednar,G,2022
321,Mikhail Berdin,G,2022
322,Daniel Mannella,G,2022
323,Tomas Vomacka,G,2022
324,Tyler Wall,G,2022
325,Dustin Wolf,G,2022
326,Yaroslav Askarov,G,2022
327,Oskari Salminen,G,2022
328,Antoine Coulombe,G,2022
329,Hunter Jones,G,2022
330,Kevin Poulin,G,2022
331,Francois Brassard,G,2022
332,Alex D'Orio,G,2022
333,Filip Lindberg,G,2022
334,Brad Arvanitis,G,2022
335,Jussi Olkinuora,G,2022
336,Benjamin Gaudreau,G,2022
337,Jordan Papirny,G,2022
338,Zachary Emond,G,2022
339,Cale Morris,G,2022
340,Matt Murray,G,2022
341,Talyn Boyko,G,2022
342,Devin Cooley,G,2022
343,Eetu Makiniemi,G,2022
344,Brad Barone,G,2022
345,Pavel Cajan,G,2022
346,Victor Brattstrom,G,2022
347,Ivan Fedotov,G,2022
348,Colton Point,G,2022
349,Ty Young,G,2022
350,Francis Marotte,G,2022
351,Jakub Skarek,G,2022
352,Nolan Lalonde,G,2022
353,Tommy Nappier,G,2022
354,Remi Poirier,G,2022
355,Daniil Chechelev,G,2022
356,Samuel Ersson,G,2022
357,Matt Villalta,G,2022
358,Strauss Mann,G,2022
359,Hunter Shepard,G,2022
