RANK,PLAYER,POS.,TEAM,year
153,Ryan Suter,D,MIN,2020
154,Dylan Strome,C,CHI,2020
155,Jakub Vrana,LW,WSH,2020
156,TJ Oshie,RW,WSH,2020
157,Tanner Pearson,LW,VAN,2020
158,Thatcher Demko,G,VAN,2020
159,Braden Holtby,G,VAN,2020
160,Ryan Getzlaf,C,ANA,2020
161,Jakub Voracek,RW,PHI,2020
162,Cam Atkinson,RW,CLB,2020
163,Adam Fox,D,NYR,2020
164,Keith Yandle,D,FLA,2020
165,Filip Hronek,D,DET,2020
166,Evgenii Dadonov,LW/RW,OTT,2020
167,Tyler Bertuzzi,LW/RW,DET,2020
168,Aaron Ekblad,D,FLA,2020
169,Tyler Toffoli,LW/RW,MTL,2020
170,Boone Jenner,C/LW,CLB,2020
171,Victor Olofsson,LW/RW,BUF,2020
172,Anthony Mantha,LW/RW,DET,2020
173,Oliver Bjorkstrand,RW,CLB,2020
174,P.K. Subban,D,NJ,2020
175,Logan Couture,C,SJ,2020
176,Clayton Keller,LW/RW,ARI,2020
177,Dominik Kubalik,LW/RW,CHI,2020
178,Nicklas Backstrom,C,WSH,2020
179,Dustin Brown,RW,LA,2020
180,Jake Virtanen,RW,VAN,2020
181,Kirill Kaprizov,LW,MIN,2020
182,Matt Murray,G,OTT,2020
183,MacKenzie Blackwood,G,NJ,2020
184,Colton Parayko,D,STL,2020
185,Jake Muzzin,D,TOR,2020
186,Nico Hischier,C,NJ,2020
187,Matt Duchene,C,NSH,2020
188,Jared Spurgeon,D,MIN,2020
189,Jean-Gabriel Pageau,C,NYI,2020
190,Brock Nelson,C,NYI,2020
191,Ryan O'Reilly,C,STL,2020
192,Brandon Tanev,LW/RW,PIT,2020
193,Pavel Buchnevich,RW,NYR,2020
194,Max Domi,C/LW,CLB,2020
195,Jack Hughes,C/LW,NJ,2020
196,Tyler Seguin,C/RW,DAL,2020
197,Anthony Cirelli,C,TB,2020
198,William Karlsson,C,VGK,2020
199,James Reimer,G,CAR,2020
200,Quinton Byfield,C,LA,2020
