Rank,Name,year
141,"Vincent Trocheck (NYR - C,F)",2021
142,"Viktor Arvidsson (LA - LW,RW)",2021
143,"Evander Kane (EDM - LW,F)",2021
144,Ryan Ellis (PHI - D),2021
145,"Pavel Buchnevich (STL - LW,F)",2021
146,Thomas Chabot (OTT - D),2021
147,William Karlsson (VGK - C),2021
148,"Patrik Laine (CBJ - LW,RW)",2021
149,"Oliver Bjorkstrand (SEA - RW,F)",2021
150,Mikhail Sergachev (TB - D),2021
151,Jared Spurgeon (MIN - D),2021
152,"Cam Atkinson (PHI - RW,F)",2021
153,"Tyler Toffoli (WPG - C,RW,F)",2021
154,Jacob Markstrom (NJ - G),2021
155,Cal Petersen (PHI - G),2021
156,Elvis Merzlikins (CBJ - G),2021
157,Ivan Provorov (CBJ - D),2021
158,Neal Pionk (WPG - D),2021
159,"Zach Hyman (EDM - C,F)",2021
160,Samuel Girard (COL - D),2021
161,"Claude Giroux (OTT - LW,C,RW)",2021
162,Dylan Larkin (DET - C),2021
163,Conor Garland (VAN - RW),2021
164,"Sean Monahan (WPG - C,F)",2021
165,Joel Eriksson Ek (MIN - C),2021
166,Josh Norris (OTT - C),2021
167,John Gibson (ANA - G),2021
168,"Tim Stutzle (OTT - C,LW)",2021
169,Drake Batherson (OTT - C),2021
170,"Jaden Schwartz (SEA - LW,F)",2021
171,Anders Lee (NYI - LW),2021
172,Matt Dumba (TB - D),2021
173,"Jeff Carter (FA - C,F)",2021
174,Trevor Zegras (ANA - C),2021
175,Denis Gurianov (PHI - RW),2021
176,"Mike Hoffman (SJ - LW,RW)",2021
177,"Jonathan Toews (CHI - C,F)",2021
178,Ben Bishop (DAL - G),2021
179,"Anthony Duclair (TB - LW,RW,F)",2021
180,Kirby Dach (MTL - C),2021
181,"Jordan Eberle (SEA - RW,F)",2021
182,"Josh Anderson (MTL - RW,F)",2021
183,"Andrew Shaw (CHI - C,RW,F)",2021
184,Oliver Wahlstrom (NYI - C),2021
185,"Phil Kessel (VGK - RW,F)",2021
186,"Craig Smith (DAL - RW,F)",2021
187,Nico Hischier (NJ - C),2021
188,Tristan Jarry (PIT - G),2021
189,"Jordan Staal (CAR - C,LW,F)",2021
190,Pierre-Luc Dubois (WSH - C),2021
191,Eeli Tolvanen (SEA - LW),2021
192,Travis Konecny (PHI - RW),2021
193,Oliver Ekman-Larsson (FLA - D),2021
194,Yegor Sharangovich (CGY - C),2021
195,Vince Dunn (SEA - D),2021
196,"Brandon Saad (STL - LW,RW,F)",2021
197,Alec Martinez (VGK - D),2021
198,"Nazem Kadri (CGY - C,F)",2021
199,Kaapo Kakko (NYR - RW),2021
200,"Blake Coleman (CGY - LW,RW)",2021
201,"Anthony Beauvillier (NSH - LW,F)",2021
202,"Dustin Brown (LA - LW,RW,F)",2021
203,"Alex Galchenyuk (ARI - C,LW)",2021
204,Quinton Byfield (LA - C),2021
205,"Alex Killorn (ANA - C,LW,F)",2021
206,Mark Giordano (TOR - D),2021
207,Mattias Ekholm (EDM - D),2021
208,"Eric Staal (FLA - C,F)",2021
209,Joel Farabee (PHI - LW),2021
210,Carter Verhaeghe (FLA - NA),2021
211,Brent Burns (CAR - D),2021
212,Nils Hoglander (VAN - LW),2021
213,"Zack Kassian (ANA - RW,F)",2021
214,Vasili Podkolzin (VAN - RW),2021
215,"Frank Vatrano (ANA - LW, RW)",2021
216,"Nick Schmaltz (ARI - C,F)",2021
217,"Pavel Zacha (BOS - C,F)",2021
218,Rasmus Dahlin (BUF - D),2021
219,"Jakub Vrana (STL - LW,RW,F)",2021
220,Matt Grzelcyk (BOS - D),2021
221,Max Comtois (CAR - LW),2021
222,"Connor Brown (EDM - RW,F)",2021
223,Erik Karlsson (PIT - D),2021
224,"Yanni Gourde (SEA - LW,F)",2021
225,"Timo Meier (NJ - LW,RW)",2021
226,"Logan Couture (SJ - C,F)",2021
227,Ty Smith (CAR - D),2021
