Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,MET,CEN,PAC,≤1,≥3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,New York Rangers,55-23-4,4-3,8-1,30-11-0,25-12-4,34-14-2,21-9-2,16-6-2,18-8-0,11-4-1,10-5-1,23-4-4,24-14-0,7-2-0,9-2-1,9-5-0,5-7-2,10-1-0,10-3-1,5-3-0
2,Dallas Stars,52-21-9,4-2,8-7,26-11-4,26-10-5,18-11-3,34-10-6,7-8-1,11-3-2,17-7-2,17-3-4,23-8-9,21-11-0,5-1-1,8-4-2,9-4-1,8-4-2,6-4-3,11-2-0,5-2-0
3,Carolina Hurricanes,52-23-7,2-5,6-2,27-10-4,25-13-3,35-10-5,17-13-2,19-4-1,16-6-4,8-6-2,9-7-0,17-8-7,25-11-0,6-4-0,7-4-1,7-5-3,8-2-1,8-3-1,11-3-1,5-2-0
4,Florida Panthers,52-24-6,3-2,7-4,26-13-2,26-11-4,33-12-5,19-12-1,17-5-4,16-7-1,9-7-0,10-5-1,19-7-6,22-8-0,4-3-1,10-4-1,8-5-0,9-2-2,9-2-0,7-6-1,5-2-1
5,Winnipeg Jets,52-24-6,0-1,6-5,27-11-3,25-13-3,19-9-4,33-15-2,10-3-3,9-6-1,20-5-1,13-10-1,15-5-6,21-12-0,4-3-2,8-5-0,10-1-2,8-3-1,7-4-0,7-8-1,8-0-0
6,Vancouver Canucks,50-23-9,0-2,6-7,27-9-5,23-14-4,21-7-4,29-16-5,12-3-1,9-4-3,12-7-5,17-9-0,19-7-9,19-11-0,6-2-1,9-6-0,8-2-2,10-1-2,5-6-2,8-3-1,4-3-1
7,Boston Bruins,47-20-15,4-3,7-12,24-11-6,23-9-9,30-15-5,17-5-10,18-5-3,12-10-2,10-3-3,7-2-7,16-5-15,22-11-0,8-0-1,7-4-2,7-3-3,9-2-3,4-3-5,8-5-1,4-3-0
8,Colorado Avalanche,50-25-7,2-2,6-5,31-9-1,19-16-6,16-13-3,34-12-4,7-8-1,9-5-2,16-8-2,18-4-2,14-6-7,30-17-0,6-2-0,9-4-1,8-5-2,9-3-0,5-5-2,10-2-1,3-4-1
9,Edmonton Oilers,49-27-6,2-1,8-5,28-9-4,21-18-2,19-11-2,30-16-4,8-6-2,11-5-0,12-8-4,18-8-0,14-3-6,27-16-0,2-5-1,7-7-0,9-3-0,11-0-0,6-5-1,10-3-2,4-4-2
10,Toronto Maple Leafs,46-26-10,5-2,8-8,22-15-4,24-11-6,22-20-8,24-6-2,11-12-3,11-8-5,12-2-2,12-4-0,19-6-10,21-11-0,5-3-1,7-3-2,5-4-4,8-4-1,9-3-0,8-5-1,4-4-1
