Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Ryan O'Reilly,?,51,24,27,22,18,11,117,22,21
?,Claude Giroux,?,51,15,22,-6,12,10,111,30,5
?,Darnell Nurse,?,51,15,20,29,57,6,140,111,93
?,Ryan Graves,?,10,0,1,-5,18,0,17,12,19
?,Jake Muzzin,?,51,3,21,18,29,1,97,98,91
?,Jack Eichel,?,20,2,16,-9,6,9,58,17,14
?,Tomas Hertl,?,16,6,5,-5,4,5,33,14,9
?,Viktor Arvidsson,?,27,2,9,-3,8,1,90,3,16
?,Ryan Reaves,?,5,0,1,0,0,0,1,23,6
?,Roman Josi,?,47,8,24,-11,20,13,135,27,82
?,Brady Tkachuk,?,48,15,18,-12,54,9,198,208,19
?,Mike Hoffman,?,45,13,16,1,10,13,91,24,12
?,Alexander Radulov,?,11,4,8,8,6,6,25,4,5
?,Tyler Motte,?,4,0,1,-4,4,0,6,25,1
?,Tyler Myers,?,35,4,8,-6,22,3,71,42,41
?,Joel Farabee,?,40,11,12,-9,22,5,86,39,15
?,Derek Forbort,?,32,1,3,-5,2,0,40,47,67
?,Nino Niederreiter,?,32,10,11,10,10,3,61,40,8
?,Alex Tuch,?,25,4,7,6,6,0,67,30,19
?,Roope Hintz,?,17,5,15,7,0,7,42,25,6
,Totals,,618,142,245,26,308,102,1486,841,549
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Frederik Andersen,?,19,11,54,2.89,470,524,0.897,0,
?,Sergei Bobrovsky,?,30,19,82,2.8,823,905,0.909,0,
?,Alexandar Georgiev,?,3,1,10,3.19,82,92,0.891,0,
?,Curtis McElhinney,?,1,1,1,1,31,32,0.969,0,
?,Jake Allen,?,1,0,2,1.98,19,21,0.905,0,
?,Jonathan Quick,?,1,0,3,3.06,20,23,0.87,0,
?,Ilya Sorokin,?,11,7,25,2.33,279,304,0.918,1,
?,Josef Korenar,?,6,3,20,3.39,183,203,0.901,0,
,Totals,,72,42,197,2.79,1907,2104,0.906,1,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
