Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Gabriel Landeskog,?,48,18,27,8,34,14,138,69,23
?,John Tavares,?,52,17,29,13,12,11,145,46,26
?,Steven Stamkos,?,38,17,17,5,16,15,91,38,10
?,Anze Kopitar,?,50,13,34,-1,10,20,109,39,35
?,Nikolaj Ehlers,?,40,18,22,14,11,10,115,19,11
?,Matt Duchene,?,18,3,5,-10,4,3,38,13,3
?,Kevin Fiala,?,46,18,18,-1,41,12,148,26,13
?,Alex Pietrangelo,?,16,2,6,9,2,1,43,14,39
?,Erik Karlsson,?,49,7,14,-16,14,7,100,20,68
?,Oliver Ekman-Larsson,?,41,2,20,-11,30,12,75,57,23
?,Rasmus Dahlin,?,50,5,16,-30,26,10,97,76,42
?,Kyle Palmieri,?,15,3,6,-2,12,3,41,15,8
?,Ryan Suter,?,53,3,14,9,12,6,83,36,63
?,Jared Spurgeon,?,9,0,2,-4,0,0,16,8,16
?,Ryan Graves,?,6,0,1,-1,0,0,13,14,6
?,Pavel Zacha,?,31,10,9,-10,4,7,67,27,6
?,Kirill Kaprizov,?,34,21,13,5,12,12,116,21,12
,Totals,,596,157,253,-23,240,143,1435,538,404
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Andrei Vasilevskiy,?,39,30,84,2.15,1056,1140,0.926,5,
?,Braden Holtby,?,15,4,54,3.61,425,479,0.887,0,
?,John Gibson,?,30,9,85,2.85,829,914,0.907,3,
,Totals,,84,43,223,2.66,2310,2533,0.912,8,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
