Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,John Tavares,?,71,24,45,-10,28,24,213,79,41
?,Blake Wheeler,?,11,0,6,-1,8,1,22,15,6
?,Zach Hyman,?,69,22,26,-9,34,9,194,66,28
?,William Nylander,?,78,32,45,-9,16,30,248,18,29
?,Josh Anderson,?,19,3,3,-13,15,1,47,47,3
?,Mathieu Perreault,?,4,3,1,3,0,0,7,3,0
?,Josh Morrissey,?,38,5,11,1,20,6,77,76,44
?,Aleksander Barkov,?,55,28,43,29,10,19,168,42,38
?,Sam Bennett,?,67,24,19,20,70,9,225,111,26
?,John Klingberg,?,11,0,3,-8,4,0,20,12,14
?,Brent Burns,?,82,10,45,-15,42,18,203,55,150
?,Nikita Zadorov,?,2,0,0,-2,2,0,5,4,2
?,Connor Brown,?,2,0,3,-2,0,2,1,0,2
?,Logan Couture,?,55,13,23,-8,12,11,131,66,44
?,Cam Fowler,?,38,5,12,-5,8,9,66,20,53
?,Andrew Mangiapane,?,51,17,11,8,26,6,112,46,22
?,Zach Aston-Reese,?,15,1,2,1,9,0,16,44,8
?,Oliver Kylington,?,6,0,2,2,0,1,5,2,7
?,Trevor Zegras,?,13,3,9,-3,8,3,33,5,3
?,Nicolas Deslauriers,?,3,0,0,1,0,0,0,6,3
?,Wayne Simmonds,?,1,0,0,-1,18,0,0,0,0
?,Vladislav Gavrikov,?,4,0,0,-4,4,0,5,3,3
?,Valeri Nichushkin,?,5,3,1,5,0,0,20,3,2
?,Jon Merrill,?,3,1,0,0,2,0,4,2,3
?,Evan Rodrigues,?,16,6,4,0,0,4,52,13,11
?,Jack Hughes,?,27,14,17,-13,0,9,104,3,5
?,Brayden McNabb,?,19,0,2,-1,6,0,30,38,53
?,Luke Kunin,?,9,1,0,-5,17,0,10,27,7
?,Jeff Carter,?,15,1,2,-4,6,0,37,27,7
?,Mike Matheson,?,3,0,0,-2,0,0,1,8,8
?,Shayne Gostisbehere,?,24,2,11,-6,4,7,46,18,37
?,Erik Gudbranson,?,1,0,0,2,0,0,1,1,0
?,Nick Suzuki,?,26,8,13,-12,10,5,57,22,18
?,Ben Chiarot,?,23,2,8,5,8,1,50,51,47
?,Nick Schmaltz,?,21,6,13,-5,10,3,48,6,15
?,Anders Lee,?,16,3,3,-6,10,2,31,20,9
?,Noah Hanifin,?,16,4,13,9,0,4,40,17,12
?,Adrian Kempe,?,5,3,0,-1,4,1,22,10,4
,Totals,,924,244,396,-59,411,185,2351,986,764
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Andrei Vasilevskiy,?,55,34,135,2.48,1520,1655,0.918,2,
?,Tristan Jarry,?,52,31,122,2.39,1399,1521,0.92,4,
?,Carter Hart,?,29,9,80,2.79,864,944,0.915,1,
,Totals,,136,74,337,2.51,3783,4120,0.918,7,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
