Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Alex Ovechkin,?,54,34,17,-11,20,16,236,145,25
?,Vladimir Tarasenko,?,8,3,6,0,0,3,23,16,4
?,Evgeni Malkin,?,28,13,20,-8,32,13,70,28,10
?,Mark Scheifele,?,60,26,40,0,43,20,142,32,42
?,Rickard Rakell,?,55,12,26,0,10,8,156,66,27
?,Lawson Crouse,?,53,11,6,-5,20,0,91,162,22
?,Alexander Radulov,?,55,15,18,7,40,10,119,41,39
?,Oliver Ekman-Larsson,?,66,9,21,-3,38,7,135,129,65
?,Blake Coleman,?,48,18,7,-5,34,0,147,148,36
?,Erik Gustafsson,?,66,6,23,-10,27,9,103,86,58
?,Zach Werenski,?,63,20,21,9,10,13,187,36,58
?,Vince Dunn,?,70,9,14,16,27,10,138,50,47
?,Evgeny Kuznetsov,?,52,16,24,0,22,9,109,31,13
?,Anze Kopitar,?,49,15,28,7,12,14,86,37,36
?,James van Riemsdyk,?,46,14,15,4,4,7,96,18,14
,Totals,,773,221,286,1,339,139,1838,1025,496
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Ben Bishop,?,38,17,89,2.48,1017,1106,0.92,2,
?,John Gibson,?,41,16,121,3.05,1114,1235,0.902,0,
?,Semyon Varlamov,?,43,18,104,2.61,1110,1214,0.914,2,
,Totals,,122,51,314,2.72,3241,3555,0.912,4,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
