Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Nazem Kadri,?,46,9,18,-10,28,8,138,26,15
?,Dylan Strome,?,15,3,4,0,4,5,23,2,10
?,Patrick Kane,?,54,15,49,-7,14,21,179,12,14
?,Travis Konecny,?,48,10,20,-6,26,9,96,55,15
?,Kris Letang,?,55,7,38,19,32,15,131,92,65
?,Sebastian Aho,?,55,24,33,18,30,18,145,38,25
?,Ryan Strome,?,54,14,33,7,39,17,126,22,17
?,Alex Ovechkin,?,42,21,15,-6,12,15,171,87,22
?,Chris Kreider,?,48,19,10,-4,30,14,98,112,34
?,Adam Fox,?,55,5,42,19,14,23,102,23,102
?,Matt Grzelcyk,?,29,4,11,2,20,7,67,14,30
?,Thomas Chabot,?,49,6,25,-15,36,7,120,68,72
?,Alexis Lafreniere,?,1,0,0,2,0,0,3,0,0
?,J.T. Miller,?,45,13,25,-8,31,17,91,83,22
?,Bobby Ryan,?,22,2,7,-11,6,2,53,25,8
?,Samuel Girard,?,29,2,15,13,8,3,49,20,33
,Totals,,647,154,345,13,330,181,1592,679,484
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Ilya Samsonov,?,19,13,49,2.69,450,499,0.902,2,
?,Elvis Merzlikins,?,13,5,28,2.41,367,395,0.929,2,
?,Mikko Koskinen,?,16,8,45,3.05,414,459,0.902,0,
?,Chris Driedger,?,17,9,40,2.41,429,469,0.915,1,
,Totals,,65,35,162,2.64,1660,1822,0.911,5,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
