Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Adam Fox,?,82,12,60,28,34,29,159,25,125
?,Shea Theodore,?,50,7,31,12,18,9,127,15,80
?,Leon Draisaitl,?,73,45,71,3,22,57,226,56,39
?,Evgeny Kuznetsov,?,67,12,39,-21,44,17,147,36,25
?,Johnny Gaudreau,?,70,19,43,-26,16,16,180,3,15
?,Patrick Kane,?,68,20,30,-24,16,20,201,13,18
?,Brock Boeser,?,2,0,1,0,2,0,4,0,1
?,Devon Toews,?,80,7,43,39,26,7,165,93,138
?,Aleksander Barkov,?,53,16,45,6,8,22,164,41,40
?,Rasmus Dahlin,?,79,15,58,12,92,32,205,105,132
?,Kyle Connor,?,63,22,41,-6,20,22,201,34,22
?,Vladimir Tarasenko,?,64,15,28,-16,8,12,150,71,34
?,Brayden Schenn,?,54,10,27,-23,38,8,90,81,19
?,Michael Bunting,?,63,13,20,15,85,8,130,66,16
?,Cole Caufield,?,40,22,9,-5,2,10,140,15,11
,Totals,,908,235,546,-6,431,269,2289,654,715
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Ville Husso,?,56,26,167,3.11,1436,1603,0.896,4,
?,Spencer Knight,?,21,9,62,3.18,564,626,0.901,1,
?,Cam Talbot,?,12,6,33,3.17,239,272,0.879,0,
,Totals,,89,41,262,3.14,2239,2501,0.895,5,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
