Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Ryan O'Reilly,?,37,5,25,10,6,10,63,9,25
?,Connor McDavid,?,57,30,52,-8,28,38,184,28,16
?,William Nylander,?,66,29,29,-3,12,17,182,8,13
?,Ryan Getzlaf,?,37,7,18,-9,31,5,83,66,39
?,Patrice Bergeron,?,55,26,24,26,18,17,183,41,41
?,Gabriel Landeskog,?,49,19,20,-5,47,14,129,80,33
?,Teuvo Teravainen,?,65,15,46,19,8,21,178,16,28
?,Kaapo Kakko,?,20,4,5,-12,4,5,32,7,3
?,Alex Killorn,?,2,0,2,2,0,1,3,0,1
?,Charlie McAvoy,?,66,4,26,22,41,2,99,127,130
?,Ryan Suter,?,66,7,38,-8,12,17,107,46,87
?,Kevin Labanc,?,56,12,16,-28,24,7,139,38,21
?,P.K. Subban,?,66,7,9,-22,77,5,148,87,89
?,Drew Doughty,?,65,7,27,-20,34,14,136,104,84
?,Tyler Bertuzzi,?,58,14,20,-28,38,11,108,63,26
?,Andreas Johnsson,?,11,1,2,-1,2,1,23,12,4
?,Anders Lee,?,34,11,14,0,33,4,109,41,25
?,Zach Sanford,?,5,0,0,0,4,0,9,4,6
,Totals,,815,198,373,-65,419,189,1915,777,671
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Tuukka Rask,?,40,26,81,2.07,1084,1165,0.93,5,
?,Cory Schneider,?,4,0,15,4.08,106,121,0.876,0,
?,Devan Dubnyk,?,13,5,37,3.07,332,369,0.9,0,
?,Henrik Lundqvist,?,8,2,23,3.1,200,223,0.897,0,
,Totals,,65,33,156,2.51,1722,1878,0.917,5,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
