Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Leon Draisaitl,?,53,30,49,30,24,31,160,35,12
?,Jonathan Drouin,?,4,0,3,0,2,1,2,4,1
?,Mikko Rantanen,?,49,30,31,25,32,23,170,23,17
?,Cale Makar,?,40,8,35,12,8,22,99,46,34
?,Torey Krug,?,47,1,27,7,25,11,103,47,53
?,Shea Weber,?,47,6,12,-5,33,10,103,70,64
?,Evgeny Kuznetsov,?,19,2,9,5,8,2,36,8,9
?,Sean Monahan,?,11,2,8,-1,2,3,25,6,5
?,William Carrier,?,8,0,0,-2,4,0,9,19,2
?,Teuvo Teravainen,?,8,0,1,0,0,0,17,4,4
?,Drew Doughty,?,3,0,1,-3,2,0,2,7,10
?,Mark Borowiecki,?,3,0,0,2,0,0,1,5,5
?,Patric Hornqvist,?,40,14,15,-5,39,11,130,70,22
?,Radko Gudas,?,1,0,0,0,0,0,0,2,2
?,Ben Chiarot,?,22,1,4,-1,35,1,52,31,31
?,Alex Tuch,?,3,1,1,0,4,0,4,3,2
?,Jacob Trouba,?,8,0,1,0,10,0,14,25,24
?,Dominik Kubalik,?,7,0,3,-1,0,2,22,6,3
?,Roope Hintz,?,7,3,1,-1,2,2,19,9,2
?,David Pastrnak,?,47,20,27,10,24,14,174,33,12
?,Jordan Greenway,?,3,0,1,1,2,0,3,8,2
?,Christian Dvorak,?,1,0,0,0,2,0,0,0,0
?,James van Riemsdyk,?,24,6,10,-2,8,2,54,19,6
?,Nick Schmaltz,?,1,0,0,-1,0,0,3,1,1
?,Timo Meier,?,30,5,13,-3,12,7,90,40,15
?,Justin Schultz,?,4,0,1,0,2,0,5,1,6
?,Brock McGinn,?,2,0,1,2,0,0,1,1,0
?,Josh Morrissey,?,1,0,0,-1,2,0,3,2,3
?,Calvin de Haan,?,4,0,3,4,2,0,5,7,6
?,Marcus Foligno,?,2,1,1,2,4,0,4,2,2
?,Jean-Gabriel Pageau,?,29,5,10,5,6,3,36,65,31
?,Drake Batherson,?,2,0,1,-1,0,0,2,4,1
?,Ondrej Palat,?,34,6,24,-1,22,11,68,49,25
?,MacKenzie Weegar,?,1,0,2,1,0,0,0,0,2
?,Erik Cernak,?,5,0,2,2,4,0,12,7,4
?,Ryan Graves,?,4,0,1,2,0,0,6,9,3
?,Joel Edmundson,?,15,0,2,1,8,0,19,33,30
?,Jamie Drysdale,?,1,0,0,-1,0,0,3,0,0
?,Pierre-Luc Dubois,?,3,1,1,1,2,1,5,2,0
?,Garnet Hathaway,?,4,0,2,-1,10,0,7,14,5
?,Connor Murphy,?,12,0,3,2,2,0,25,21,35
?,Joel Eriksson Ek,?,4,1,0,-2,6,0,9,10,3
?,Brock Nelson,?,1,0,1,-1,0,1,2,0,0
?,Max Comtois,?,3,0,1,-1,7,0,3,7,3
?,Brayden McNabb,?,1,0,0,0,0,0,0,1,2
?,Alex Goligoski,?,11,1,7,-5,2,3,15,16,17
?,Anthony Duclair,?,9,4,6,10,6,1,17,5,3
?,Cody Ceci,?,2,0,0,-1,0,0,3,3,1
?,Esa Lindell,?,6,0,0,2,2,0,12,10,13
?,Chandler Stephenson,?,6,2,3,0,0,0,14,6,2
?,Scott Laughton,?,1,0,0,2,0,0,0,2,0
,Totals,,653,150,324,88,365,162,1568,798,535
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Tuukka Rask,?,19,12,41,2.24,450,491,0.916,2,
?,Thatcher Demko,?,9,3,33,3.74,284,317,0.896,0,
?,Marc-Andre Fleury,?,32,22,66,2.08,827,893,0.926,5,
?,Mike Smith,?,26,16,57,2.3,682,739,0.923,2,
?,Cam Talbot,?,1,1,1,1,21,22,0.955,0,
?,Adin Hill,?,3,3,6,1.98,81,87,0.931,0,
,Totals,,90,57,204,2.33,2345,2549,0.92,9,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
