Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Auston Matthews,?,70,47,33,18,8,25,290,40,60
?,Logan Couture,?,40,12,22,2,16,8,91,43,33
?,Quinn Hughes,?,18,2,10,-3,0,9,30,3,6
?,Elias Lindholm,?,65,27,25,-4,18,19,156,82,37
?,Sam Reinhart,?,56,17,18,-24,18,11,114,30,23
?,Mike Hoffman,?,67,28,29,-6,28,20,208,33,22
?,Evgenii Dadonov,?,59,21,17,-10,10,15,143,27,20
?,Victor Hedman,?,64,10,43,27,31,20,149,73,94
?,Keith Yandle,?,69,5,39,0,20,21,129,18,51
?,Ryan McDonagh,?,15,1,4,-1,4,0,15,14,32
?,Nikita Zadorov,?,58,3,7,1,61,0,57,153,63
?,Taylor Hall,?,62,16,34,-15,32,17,222,46,27
?,Evander Kane,?,63,25,20,-15,118,18,213,132,25
?,Jaccob Slavin,?,11,0,5,3,0,0,23,1,14
?,Mark Borowiecki,?,35,6,6,-6,31,0,41,123,85
?,John Klingberg,?,37,5,19,-1,8,13,75,15,49
?,Jakob Chychrun,?,3,0,0,-2,0,0,4,2,9
?,Phillip Danault,?,7,0,4,-1,6,0,7,10,6
?,Barclay Goodrow,?,12,0,2,-3,19,0,17,26,10
?,Matt Niskanen,?,8,1,2,15,2,2,11,14,16
?,Andreas Athanasiou,?,8,1,1,-1,4,0,14,8,3
,Totals,,827,227,340,-26,434,198,2009,893,685
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Jordan Binnington,?,38,23,95,2.51,973,1068,0.911,3,
?,Petr Mrazek,?,33,19,83,2.57,823,906,0.908,3,
?,Thomas Greiss,?,28,13,67,2.85,677,744,0.91,0,
,Totals,,99,55,245,2.62,2473,2718,0.91,6,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
