Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Connor BedardCHI - C,?,61,21,34,-33,26,17,181,41,25
,No new player Notes,,,,,,,,,,
?,Luke EvangelistaNSH - RW,?,39,7,12,-2,8,3,70,14,16
,No new player Notes,,,,,,,,,,
?,"Leon DraisaitlEDM - C,LW ?",?,69,34,57,22,60,32,193,49,21
,Player Note,,,,,,,,,,
?,"Max DomiTOR - C,LW",?,58,5,25,2,100,1,99,39,18
,No new player Notes,,,,,,,,,,
?,Matthew KniesTOR - LW,?,65,9,16,4,32,2,90,124,25
,No new player Notes,,,,,,,,,,
?,Devon ToewsCOL - D,?,82,12,38,28,18,5,159,61,110
,No new player Notes,,,,,,,,,,
?,"Joe PavelskiDAL - C,RW",?,78,27,37,9,20,21,186,63,68
,No new player Notes,,,,,,,,,,
?,Aleksander BarkovFLA - C ?,?,65,21,52,37,22,23,172,72,46
,Player Note,,,,,,,,,,
?,"David PerronDET - LW,RW",?,62,13,22,-12,35,12,128,77,22
,No new player Notes,,,,,,,,,,
?,"Tyler ToffoliWPG - LW,RW",?,70,28,20,-9,12,16,206,58,10
,No new player Notes,,,,,,,,,,
?,Adam FoxNYR - D ?,?,69,17,52,22,36,31,132,34,118
,No new player Notes,,,,,,,,,,
?,Rasmus DahlinBUF - D ?,?,81,20,39,-3,66,20,235,168,154
,No new player Notes,,,,,,,,,,
?,Justin FaulkSTL - D,?,60,2,28,-2,39,7,132,75,104
,No new player Notes,,,,,,,,,,
,O,,,,,,,,,,
?,Kyle ConnorWPG - LW ?,?,37,22,13,-1,2,13,119,10,12
,No new player Notes,,,,,,,,,,
?,Hampus LindholmBOS - D,?,13,1,4,7,14,1,21,4,13
,No new player Notes,,,,,,,,,,
?,"Yegor SharangovichCGY - C,LW,RW",?,18,10,4,-5,0,5,36,2,9
,No new player Notes,,,,,,,,,,
?,Jonathan DrouinCOL - LW,?,27,6,16,6,12,7,41,15,11
,No new player Notes,,,,,,,,,,
,Totals,,954,255,469,70,502,216,2200,906,782
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Connor HellebuyckWPG - G,?,60,37,142,2.39,1656,1798,0.921,5,
,No new player Notes,,,,,,,,,,
?,Antti RaantaCAR - G,?,14,6,45,3.61,265,310,0.855,1,
,No new player Notes,,,,,,,,,,
,NA,,,,,,,,,,
?,Filip GustavssonMIN - G,?,27,12,80,3.22,671,751,0.893,1,
,No new player Notes,,,,,,,,,,
,Totals,,101,55,267,2.76,2592,2859,0.907,7,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
