Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Nathan MacKinnon,?,41,16,37,23,37,21,175,34,13
?,Ryan Nugent-Hopkins,?,40,12,16,-4,16,16,104,22,21
?,Kailer Yamamoto,?,31,7,9,10,20,0,45,39,33
?,Colton Parayko,?,16,1,7,1,12,0,32,20,32
?,Logan Couture,?,29,9,10,-1,15,6,72,32,22
?,Jeff Skinner,?,9,0,1,0,4,0,21,2,3
?,T.J. Oshie,?,48,21,19,-1,18,15,96,67,27
?,Matt Dumba,?,47,5,15,1,46,5,80,67,72
?,Zdeno Chara,?,12,1,1,2,8,0,23,17,15
?,Adam Larsson,?,39,2,5,1,18,0,35,118,98
?,Mikhail Grigorenko,?,4,1,0,0,2,0,2,2,3
?,Tyler Bertuzzi,?,2,2,0,0,0,1,3,1,0
?,Drew Doughty,?,44,5,20,-9,22,12,78,69,64
?,Joel Eriksson Ek,?,5,2,2,5,2,0,8,11,1
?,Rasmus Andersson,?,17,0,6,-5,14,1,25,16,20
?,Conor Garland,?,15,4,5,-1,6,1,23,7,6
?,Christian Dvorak,?,10,2,1,-3,4,1,15,7,6
?,Jordan Staal,?,34,10,10,-3,24,6,73,85,14
?,Michael Del Zotto,?,3,0,0,-1,2,0,5,9,5
?,Drake Batherson,?,4,2,1,-4,0,2,9,8,2
?,Alex Killorn,?,11,4,4,-4,6,3,20,7,2
?,Jacob Trouba,?,14,1,5,7,6,1,28,36,31
?,Devon Toews,?,27,5,10,14,10,3,64,25,36
?,Jordan Greenway,?,2,0,0,-1,6,0,1,3,1
?,Andre Burakovsky,?,9,3,3,-1,2,1,12,5,1
?,Yanni Gourde,?,22,7,7,4,16,2,43,21,10
?,Pavel Buchnevich,?,23,9,7,3,35,2,46,26,11
?,Jared McCann,?,17,5,10,3,2,6,37,18,8
?,Andrew Copp,?,12,2,7,-1,6,4,21,11,11
?,Frank Vatrano,?,14,4,2,1,12,1,38,25,3
?,Phillip Danault,?,14,1,3,-9,6,0,16,33,12
?,Viktor Arvidsson,?,5,2,2,5,4,0,15,4,6
?,Casey Mittelstadt,?,9,2,4,-5,2,2,20,3,4
,Totals,,629,147,229,27,383,112,1285,850,593
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Cam Talbot,?,6,3,13,2.4,149,162,0.92,0,
?,David Rittich,?,1,0,4,4,17,21,0.81,0,
?,Jaroslav Halak,?,13,6,37,2.9,333,370,0.9,1,
?,Kevin Lankinen,?,19,9,65,3.58,558,623,0.896,1,
?,Michael Hutchinson,?,2,0,5,4.71,26,31,0.839,0,
?,Casey DeSmith,?,11,5,28,2.82,289,317,0.912,1,
,Totals,,52,23,152,3.15,1372,1524,0.9,3,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
