Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Nicklas Backstrom,?,58,10,41,0,10,16,126,29,44
?,Ryan Nugent-Hopkins,?,52,20,30,1,31,19,143,29,40
?,Brayden McNabb,?,69,2,5,0,40,0,71,199,130
?,Aleksander Barkov,?,64,18,41,5,16,18,161,20,35
?,Jonathan Huberdeau,?,65,22,53,5,28,28,142,46,26
?,Clayton Keller,?,50,11,18,-3,24,9,126,14,8
?,Nikita Kucherov,?,65,33,51,29,36,25,206,37,18
?,Phil Kessel,?,41,9,14,-22,18,13,102,7,15
?,Rasmus Dahlin,?,24,1,15,2,20,7,33,26,14
?,Miro Heiskanen,?,61,7,25,17,12,7,144,38,79
?,Mikhail Sergachev,?,67,9,24,17,58,12,114,102,97
?,Roman Josi,?,69,16,49,22,41,23,260,52,108
?,Claude Giroux,?,67,20,30,5,28,18,192,45,16
?,Andrei Svechnikov,?,63,24,33,9,52,19,175,107,26
?,Joel Edmundson,?,41,5,7,0,35,0,62,74,53
?,Brock Nelson,?,3,1,0,-1,0,0,10,2,3
,Totals,,859,208,436,86,449,214,2067,827,712
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Carey Price,?,54,24,152,2.86,1476,1628,0.907,2,
?,Connor Hellebuyck,?,56,31,133,2.51,1618,1751,0.924,6,
?,Antti Raanta,?,10,6,19,1.9,315,334,0.943,1,
,Totals,,120,61,304,2.62,3409,3713,0.918,9,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
