Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Roman Josi,?,66,18,40,3,36,24,267,50,143
?,J.T. Miller,?,75,29,49,-6,54,29,208,189,46
?,Sebastian Aho,?,72,32,31,8,42,15,212,56,19
?,Andrei Svechnikov,?,63,22,32,5,71,16,201,138,17
?,John Carlson,?,39,9,19,-9,12,12,121,39,85
?,Evan Bouchard,?,32,1,9,-10,8,3,61,49,30
?,Bowen Byram,?,9,2,2,3,4,0,10,11,10
?,Mats Zuccarello,?,63,18,34,-6,22,24,163,43,31
?,Tony DeAngelo,?,53,10,23,-21,52,15,131,46,57
?,Pierre-Luc Dubois,?,17,4,8,2,14,3,46,18,13
?,Lucas Raymond,?,5,0,2,1,6,0,13,2,0
?,Pavel Buchnevich,?,54,22,34,12,30,19,106,47,20
?,Alexis Lafreniere,?,9,1,1,-1,2,0,17,18,3
?,Jesper Bratt,?,53,21,24,3,4,18,131,17,15
?,Brad Marchand,?,69,21,44,27,70,29,173,79,22
?,Nick Suzuki,?,29,9,12,-13,12,7,43,15,14
?,Jani Hakanpaa,?,36,2,4,9,25,0,30,85,63
?,Erik Gustafsson,?,6,1,1,4,0,0,14,6,4
?,Tom Wilson,?,16,6,5,-14,27,3,32,49,12
?,Ryan Hartman,?,1,0,0,-2,0,0,0,0,1
?,Mathew Barzal,?,18,3,7,-2,6,2,43,4,13
?,Max Pacioretty,?,1,1,0,0,0,0,5,2,0
?,Joel Edmundson,?,1,0,0,0,0,0,1,1,4
?,Brett Pesce,?,1,0,0,-1,0,0,1,0,1
?,K'Andre Miller,?,3,0,2,-1,0,1,2,4,2
?,Noah Dobson,?,9,1,2,-3,6,2,25,8,14
?,Arber Xhekaj,?,9,0,0,-5,29,0,12,31,7
?,Seth Jones,?,3,0,1,-4,6,0,9,4,5
?,Noah Hanifin,?,3,1,0,1,0,0,8,1,4
?,David Krejci,?,3,0,2,-1,0,0,3,3,2
?,Connor Clifton,?,22,0,6,1,16,0,21,50,35
?,Gustav Forsling,?,29,6,5,11,12,0,76,19,40
?,Jeremy Lauzon,?,2,0,2,0,2,0,0,3,5
?,Brayden McNabb,?,24,0,3,5,13,0,19,54,65
?,Joel Eriksson Ek,?,1,0,1,0,0,1,5,0,0
?,Claude Giroux,?,21,10,12,5,14,4,58,27,5
?,Tyson Barrie,?,6,0,1,-2,4,0,8,0,7
?,Alec Martinez,?,1,0,1,2,0,0,2,0,2
?,Jason Zucker,?,4,0,0,-2,0,0,13,13,3
?,Barrett Hayton,?,1,0,1,-1,0,1,5,0,0
?,Sam Reinhart,?,13,5,11,3,2,6,32,11,7
?,Mattias Ekholm,?,3,2,0,0,2,0,10,4,5
?,Juuso Valimaki,?,2,0,0,1,4,0,3,2,3
?,David Savard,?,2,0,1,1,0,0,5,2,3
?,Sammy Blais,?,7,1,2,0,12,0,7,26,6
,Totals,,956,258,434,3,619,234,2352,1226,843
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Andrei Vasilevskiy,?,57,33,149,2.62,1636,1785,0.917,4,
?,Logan Thompson,?,33,19,83,2.58,915,998,0.917,2,
?,Jordan Binnington,?,14,7,45,3.37,373,418,0.892,1,
?,Pyotr Kochetkov,?,8,4,21,2.63,181,202,0.896,1,
?,Adin Hill,?,7,5,16,2.27,210,226,0.929,0,
?,Jonathan Quick,?,4,2,18,4.93,109,127,0.858,0,
?,Casey DeSmith,?,1,1,2,2,31,33,0.939,0,
,Totals,,124,71,334,2.73,3455,3789,0.912,8,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
