Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Nikolaj Ehlers,?,57,26,25,19,16,8,223,27,23
?,Mitchell Marner,?,72,35,62,23,16,25,224,75,31
?,Cole Caufield,?,4,0,0,-4,2,0,11,1,0
?,Connor Murphy,?,3,1,0,-7,4,0,6,2,6
?,Mathew Barzal,?,8,3,2,-1,2,0,27,3,2
?,Jonathan Huberdeau,?,79,30,84,34,52,37,217,96,28
?,Oliver Bjorkstrand,?,22,6,13,-10,4,7,56,13,6
?,Jakob Chychrun,?,7,0,0,-13,18,0,20,13,9
?,Thomas Chabot,?,54,6,28,-2,24,11,162,67,85
?,Tony DeAngelo,?,65,10,41,32,56,20,151,41,59
?,Rasmus Dahlin,?,78,11,40,-24,66,20,166,120,91
?,Sean Couturier,?,20,5,8,-8,4,4,54,11,8
?,Mark Scheifele,?,65,29,40,-13,23,17,157,36,46
?,Jani Hakanpaa,?,7,0,0,-2,21,0,5,21,9
?,Dylan Larkin,?,66,29,35,-19,35,12,194,75,27
?,Moritz Seider,?,76,7,38,-6,28,18,180,146,154
?,Liam O'Brien,?,1,0,0,0,0,0,0,1,0
?,Lucas Raymond,?,53,13,21,-17,10,13,120,38,16
?,Troy Terry,?,37,18,12,-7,14,9,86,4,7
?,Garnet Hathaway,?,3,3,1,0,0,0,10,13,1
?,Anthony Cirelli,?,27,6,7,12,31,0,56,28,27
?,Jack Hughes,?,3,1,0,-2,0,0,4,0,1
?,Jamie Drysdale,?,4,0,0,0,0,0,5,1,8
?,Alex Goligoski,?,12,1,5,9,12,1,16,9,20
?,Conor Garland,?,10,2,3,3,6,0,30,9,6
?,Ivan Barbashev,?,19,5,8,2,8,2,34,34,11
?,Pat Maroon,?,4,0,0,0,2,0,3,4,0
?,Alexander Romanov,?,1,0,0,0,2,0,1,3,3
?,Kevin Shattenkirk,?,17,0,1,-9,8,1,36,21,32
?,Anton Lundell,?,9,4,2,5,4,1,21,5,4
?,Chandler Stephenson,?,2,1,0,0,2,0,3,0,1
?,Jesper Bratt,?,19,6,12,5,0,5,49,9,7
?,Ryan Hartman,?,26,10,12,4,34,4,71,16,14
?,John Klingberg,?,13,2,7,0,4,2,29,15,10
?,Frank Vatrano,?,4,1,2,3,0,0,10,3,0
?,Taylor Hall,?,6,0,3,3,4,0,14,8,2
?,Jordan Kyrou,?,11,4,8,1,2,4,28,2,3
?,Calvin de Haan,?,1,0,0,1,0,0,2,2,0
?,Owen Power,?,8,2,1,3,2,0,10,1,9
,Totals,,973,277,521,15,516,221,2491,973,766
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Frederik Andersen,?,52,35,111,2.17,1320,1431,0.922,4,
?,Jeremy Swayman,?,3,1,8,2.71,67,75,0.893,0,
?,Linus Ullmark,?,9,5,24,2.68,247,271,0.911,0,
?,Jake Oettinger,?,8,5,23,3.12,184,207,0.889,0,
?,Elvis Merzlikins,?,4,1,16,4.4,138,154,0.896,0,
?,Ilya Samsonov,?,8,3,23,3.17,207,230,0.9,0,
?,Scott Wedgewood,?,1,1,5,5,41,46,0.891,0,
?,Zach Sawchenko,?,1,1,3,2.98,33,36,0.917,0,
?,Antti Raanta,?,1,0,2,2.05,18,20,0.9,0,
?,Anton Forsberg,?,1,0,3,3.07,35,38,0.921,0,
?,Jake Allen,?,4,2,13,3.24,131,144,0.91,0,
?,Karel Vejmelka,?,1,0,3,3.05,25,28,0.893,0,
?,Logan Thompson,?,5,4,11,2.19,135,146,0.925,1,
?,Carey Price,?,4,1,16,4.02,113,129,0.876,0,
,Totals,,102,59,261,2.63,2694,2955,0.912,5,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
