Name,gp,wins,GA,GAA,saves,shots_against,sv_percent,shutout,manager,year,Position
Marc-Andre Fleury,53,26,150,2.9,1504,1654,0.909310761789601,4,The Tkachukle Fuckers,2021,G
Martin Jones,1,1,2,1.93,34,36,0.9444444444444444,0,The Tkachukle Fuckers,2021,G
Maxime Lagace,1,0,6,9.01,21,27,0.7777777777777778,0,The Tkachukle Fuckers,2021,G
Alex Nedeljkovic,1,0,5,5.05,32,37,0.8648648648648649,0,The Tkachukle Fuckers,2021,G
Anton Forsberg,12,6,37,3.08,369,406,0.9088669950738916,0,The Tkachukle Fuckers,2021,G
James Reimer,4,2,9,2.63,126,135,0.9333333333333333,0,The Tkachukle Fuckers,2021,G
Karel Vejmelka,1,1,3,3,36,39,0.9230769230769231,0,The Tkachukle Fuckers,2021,G
Antti Raanta,2,1,4,2.58,44,48,0.9166666666666666,0,The Tkachukle Fuckers,2021,G
Philipp Grubauer,40,11,126,3.36,961,1087,0.8840846366145354,1,Tkachuk'n rites boys,2021,G
Juuse Saros,65,37,166,2.61,1882,2048,0.9189453125,4,Tkachuk'n rites boys,2021,G
Adin Hill,2,0,6,3.4,29,35,0.8285714285714286,0,Tkachuk'n rites boys,2021,G
Craig Anderson,19,9,65,3.4,495,560,0.8839285714285714,0,Tkachuk'n rites boys,2021,G
Semyon Varlamov,2,0,9,4.58,62,71,0.8732394366197183,0,Tkachuk'n rites boys,2021,G
Juuse Saros,47,24,121,2.57,1409,1530,0.9209150326797385,2,BunchaPigeons,2022,G
Ilya Samsonov,34,22,83,2.45,875,958,0.9133611691022965,4,BunchaPigeons,2022,G
Marc-Andre Fleury,10,5,22,2.39,240,262,0.916030534351145,1,BunchaPigeons,2022,G
Vitek Vanecek,40,26,97,2.5,992,1089,0.9109274563820018,2,BunchaPigeons,2022,G
Jake Oettinger,62,37,144,2.37,1632,1776,0.918918918918919,5,Classless Calow,2022,G
Connor Hellebuyck,64,37,157,2.49,1807,1964,0.920061099796334,4,Classless Calow,2022,G
Jack Campbell,10,6,39,4.27,268,307,0.8729641693811075,0,Come Fiala Deez Nuts!,2022,G
Thatcher Demko,11,1,44,4.02,305,349,0.8739255014326648,0,Come Fiala Deez Nuts!,2022,G
Martin Jones,7,6,30,4.23,162,192,0.84375,0,Come Fiala Deez Nuts!,2022,G
Stuart Skinner,26,15,70,2.79,720,790,0.9113924050632911,1,Come Fiala Deez Nuts!,2022,G
Charlie Lindgren,9,7,18,2.13,218,236,0.923728813559322,0,Come Fiala Deez Nuts!,2022,G
Antti Raanta,1,0,3,2.77,15,18,0.8333333333333334,0,Come Fiala Deez Nuts!,2022,G
Pavel Francouz,6,3,13,2.14,171,184,0.9293478260869565,1,Come Fiala Deez Nuts!,2022,G
Pheonix Copley,10,5,22,2.34,224,246,0.9105691056910569,0,Come Fiala Deez Nuts!,2022,G
Filip Gustavsson,12,8,21,1.71,378,399,0.9473684210526315,2,Come Fiala Deez Nuts!,2022,G
Pyotr Kochetkov,1,0,5,5,19,24,0.7916666666666666,0,Come Fiala Deez Nuts!,2022,G
Matt Murray,1,0,4,4.05,19,23,0.8260869565217391,0,Commissioner Coulas,2022,G
Jake Allen,9,4,29,3.19,268,297,0.9023569023569024,0,Commissioner Coulas,2022,G
Sergei Bobrovsky,12,4,43,3.84,310,353,0.8781869688385269,0,Commissioner Coulas,2022,G
Carter Hart,12,3,36,3.06,341,377,0.9045092838196287,0,Commissioner Coulas,2022,G
Karel Vejmelka,20,7,69,3.58,612,681,0.8986784140969163,1,Commissioner Coulas,2022,G
Dan Vladar,6,4,18,2.97,156,174,0.896551724137931,0,Commissioner Coulas,2022,G
Marc-Andre Fleury,21,12,53,2.66,613,666,0.9204204204204204,1,Commissioner Coulas,2022,G
Filip Gustavsson,8,5,17,2.16,207,224,0.9241071428571429,0,Commissioner Coulas,2022,G
Antti Raanta,9,7,13,1.56,192,205,0.9365853658536586,2,Commissioner Coulas,2022,G
Joonas Korpisalo,10,6,20,2.14,231,251,0.9203187250996016,1,Commissioner Coulas,2022,G
Michael Hutchinson,1,1,4,3.96,34,38,0.8947368421052632,0,Commissioner Coulas,2022,G
Ville Husso,56,26,167,3.11,1436,1603,0.8958203368683718,4,Hail Satan,2022,G
Spencer Knight,21,9,62,3.18,564,626,0.9009584664536742,1,Hail Satan,2022,G
Cam Talbot,12,6,33,3.17,239,272,0.8786764705882353,0,Hail Satan,2022,G
Andrei Vasilevskiy,57,33,149,2.62,1636,1785,0.9165266106442577,4,HatTrick Swayzes,2022,G
Logan Thompson,33,19,83,2.58,915,998,0.9168336673346693,2,HatTrick Swayzes,2022,G
Jordan Binnington,14,7,45,3.37,373,418,0.8923444976076556,1,HatTrick Swayzes,2022,G
Pyotr Kochetkov,8,4,21,2.63,181,202,0.8960396039603961,1,HatTrick Swayzes,2022,G
Adin Hill,7,5,16,2.27,210,226,0.9292035398230089,0,HatTrick Swayzes,2022,G
Jonathan Quick,4,2,18,4.93,109,127,0.8582677165354331,0,HatTrick Swayzes,2022,G
Casey DeSmith,1,1,2,2,31,33,0.9393939393939394,0,HatTrick Swayzes,2022,G
Igor Shesterkin,55,35,137,2.48,1510,1647,0.9168184578020644,3,Mitchell's Russians,2022,G
Alexandar Georgiev,62,40,155,2.51,1749,1904,0.9185924369747899,5,Mitchell's Russians,2022,G
Darcy Kuemper,34,11,99,3.11,836,935,0.8941176470588236,2,Sugar Kane,2022,G
Ilya Sorokin,55,28,123,2.32,1529,1652,0.9255447941888619,6,Sugar Kane,2022,G
Pavel Francouz,1,0,5,5.21,22,27,0.8148148148148148,0,Sugar Kane,2022,G
Linus Ullmark,43,35,77,1.84,1206,1283,0.9399844115354637,2,Sugar Kane,2022,G
Jacob Markstrom,52,20,146,2.89,1208,1354,0.8921713441654358,1,The McDadDicks,2022,G
Tristan Jarry,35,18,101,3,990,1091,0.9074243813015582,2,The McDadDicks,2022,G
Matt Murray,24,13,69,3.06,650,719,0.9040333796940194,1,The McDadDicks,2022,G
Scott Wedgewood,1,0,2,2.1,25,27,0.9259259259259259,0,The McDadDicks,2022,G
Casey DeSmith,14,6,46,3.85,373,419,0.8902147971360382,0,The McDadDicks,2022,G
Tristan Jarry,36,15,90,2.74,876,966,0.906832298136646,5,BunchaPigeons,2023,G
Ilya Samsonov,3,2,11,3.67,68,79,0.8607594936708861,0,BunchaPigeons,2023,G
Jack Campbell,1,0,4,8.73,12,16,0.75,0,BunchaPigeons,2023,G
Jordan Binnington,4,1,14,3.52,111,125,0.888,0,BunchaPigeons,2023,G
Joseph Woll,4,1,14,3.53,98,112,0.875,0,BunchaPigeons,2023,G
Cam Talbo,33,18,81,2.5,832,913,0.9112814895947426,3,BunchaPigeons,2023,G
Semyon Varlamov,1,0,4,4.17,27,31,0.8709677419354839,0,BunchaPigeons,2023,G
Marc-Andre Fleury,1,0,3,3.12,24,27,0.8888888888888888,0,BunchaPigeons,2023,G
Stuart Skinner,43,29,102,2.48,1042,1144,0.9108391608391608,1,BunchaPigeons,2023,G
Charlie Lindgren,1,0,5,5.05,30,35,0.8571428571428571,0,BunchaPigeons,2023,G
Filip Gustavsson,1,0,2,2.09,15,17,0.8823529411764706,0,BunchaPigeons,2023,G
David Rittic,1,0,3,2.79,24,27,0.8888888888888888,0,BunchaPigeons,2023,G
Ukko-Pekka Luukkonen,10,6,21,2.1,275,296,0.9290540540540541,1,BunchaPigeons,2023,G
Frederik Andersen,8,7,10,1.25,201,211,0.95260663507109,3,BunchaPigeons,2023,G
Juuse Saros,64,35,173,2.86,1672,1845,0.9062330623306233,3,Clownin Rounds,2023,G
Jake Oettinger,52,34,135,2.7,1283,1418,0.9047954866008463,3,Clownin Rounds,2023,G
Scott Wedgewood,3,1,6,2.48,53,59,0.8983050847457628,0,Clownin Rounds,2023,G
Joonas Korpisalo,14,5,51,3.82,394,445,0.8853932584269663,0,Commissioner Coulas,2023,G
Stuart Skinner,3,0,11,4.29,48,59,0.8135593220338984,0,Commissioner Coulas,2023,G
Logan Thompson,41,22,111,2.79,1063,1174,0.9054514480408858,1,Commissioner Coulas,2023,G
Kevin Lankinen,1,0,4,4.04,22,26,0.8461538461538461,0,Commissioner Coulas,2023,G
Lukas Dostal,1,1,3,2.84,32,35,0.9142857142857143,0,Commissioner Coulas,2023,G
Ville Husso,3,2,11,3.74,70,81,0.8641975308641975,0,Commissioner Coulas,2023,G
Joey Daccord,1,0,5,5,22,27,0.8148148148148148,0,Commissioner Coulas,2023,G
Jonas Johansso,3,0,9,3.93,56,65,0.8615384615384616,0,Commissioner Coulas,2023,G
Ilya Samsonov,2,0,10,4.98,54,64,0.84375,0,Commissioner Coulas,2023,G
Alex Nedeljkovic,1,0,5,4.9,21,26,0.8076923076923077,0,Commissioner Coulas,2023,G
Pyotr Kochetkov,5,4,10,2.19,113,123,0.9186991869918699,0,Commissioner Coulas,2023,G
Anthony Stolarz,9,6,19,2.23,212,231,0.9177489177489178,0,Commissioner Coulas,2023,G
Sam Montembeault,2,1,5,2.53,72,77,0.935064935064935,0,Commissioner Coulas,2023,G
Jonathan Quick,2,1,8,4.13,68,76,0.8947368421052632,0,Commissioner Coulas,2023,G
Nico Daw,1,0,2,2.07,27,29,0.9310344827586207,0,Commissioner Coulas,2023,G
Martin Jones,1,1,2,2.01,19,21,0.9047619047619048,0,Commissioner Coulas,2023,G
Justus Annunen,3,3,2,0.67,86,88,0.9772727272727273,2,Commissioner Coulas,2023,G
Joel Hofer,5,3,12,2.38,119,131,0.9083969465648855,0,Commissioner Coulas,2023,G
Casey DeSmith,5,1,19,3.88,116,135,0.8592592592592593,0,Commissioner Coulas,2023,G
Alex Lyon,4,2,13,3.23,96,109,0.8807339449541285,0,Commissioner Coulas,2023,G
Connor Hellebuyck,60,37,142,2.39,1656,1798,0.9210233592880979,5,Hail Satan,2023,G
Antti Raanta,14,6,45,3.61,265,310,0.8548387096774194,1,Hail Satan,2023,G
Filip Gustavsson,27,12,80,3.22,671,751,0.8934753661784287,1,Hail Satan,2023,G
Vitek Vanece,11,5,34,3.53,236,270,0.8740740740740741,0,HatTrick Swayzes,2023,G
Devon Levi,2,0,7,3.55,52,59,0.8813559322033898,0,HatTrick Swayzes,2023,G
Akira Schmi,3,1,10,4.07,63,73,0.863013698630137,0,HatTrick Swayzes,2023,G
Thatcher Demko,50,34,122,2.47,1342,1464,0.9166666666666666,5,HatTrick Swayzes,2023,G
Jonas Johansso,6,2,23,3.86,165,188,0.8776595744680851,1,HatTrick Swayzes,2023,G
Andrei Vasilevski,48,27,134,2.85,1220,1354,0.9010339734121122,2,HatTrick Swayzes,2023,G
Marc-Andre Fleury,8,3,23,3.03,172,195,0.882051282051282,1,HatTrick Swayzes,2023,G
Connor Ingram,5,2,16,3.73,116,132,0.8787878787878788,0,HatTrick Swayzes,2023,G
Jonathan Quick,1,1,1,1.01,19,20,0.95,0,HatTrick Swayzes,2023,G
Justus Annunen,1,0,3,3.08,21,24,0.875,0,HatTrick Swayzes,2023,G
Jesper Wallstedt,2,2,2,1.01,51,53,0.9622641509433962,1,HatTrick Swayzes,2023,G
Dustin Wolf,1,1,2,1.92,20,22,0.9090909090909091,0,HatTrick Swayzes,2023,G
Calvin Pickard,1,0,3,2.93,25,28,0.8928571428571429,0,HatTrick Swayzes,2023,G
Alexandar Georgiev,59,37,172,3,1501,1673,0.8971906754333533,2,Snortin Laine’s Bustin Hymans,2023,G
Igor Shesterkin,45,31,111,2.48,1204,1315,0.9155893536121673,4,Snortin Laine’s Bustin Hymans,2023,G
Jonathan Quick,4,3,15,3.63,109,124,0.8790322580645161,0,Snortin Laine’s Bustin Hymans,2023,G
Dustin Wolf,3,1,10,3.35,88,98,0.8979591836734694,0,Snortin Laine’s Bustin Hymans,2023,G
Devon Levi,2,1,7,3.56,50,57,0.8771929824561403,0,Snortin Laine’s Bustin Hymans,2023,G
Joey Daccord,15,6,38,2.65,413,451,0.9157427937915743,1,Snortin Laine’s Bustin Hymans,2023,G
Alex Lyon,3,0,13,4.91,90,103,0.8737864077669902,0,Snortin Laine’s Bustin Hymans,2023,G
Ukko-Pekka Luukkonen,12,7,34,2.84,327,361,0.9058171745152355,0,Snortin Laine’s Bustin Hymans,2023,G
Linus Ullmark,37,20,89,2.48,995,1084,0.9178966789667896,2,Sugar Kane,2023,G
Ilya Sorokin,54,25,161,3.02,1585,1746,0.9077892325315006,1,Sugar Kane,2023,G
Sam Montembeault,1,1,2,2,28,30,0.9333333333333333,0,Sugar Kane,2023,G
Mackenzie Blackwoo,2,0,8,4.09,69,77,0.8961038961038961,0,Sugar Kane,2023,G
Semyon Varlamov,2,1,6,2.89,57,63,0.9047619047619048,0,Sugar Kane,2023,G
Samuel Ersson,1,1,2,1.85,17,19,0.8947368421052632,0,Sugar Kane,2023,G
Marc-Andre Fleury,3,1,5,1.91,66,71,0.9295774647887324,1,Sugar Kane,2023,G
Calvin Pickard,1,0,3,3.03,16,19,0.8421052631578947,0,Sugar Kane,2023,G
James Reimer,1,1,2,1.94,33,35,0.9428571428571428,0,Sugar Kane,2023,G
Laurent Brossoit,1,1,2,2.01,17,19,0.8947368421052632,0,Sugar Kane,2023,G
Philipp Grubauer,7,2,21,3.39,170,191,0.8900523560209425,0,Sugar Kane,2023,G
Arturs Silovs,2,2,3,1.5,40,43,0.9302325581395349,0,Sugar Kane,2023,G
Sergei Bobrovsky,52,33,119,2.31,1304,1423,0.9163738580463809,6,Taxicab Kanefessions,2023,G
Jeremy Swayman,38,21,94,2.52,1043,1137,0.9173262972735268,3,Taxicab Kanefessions,2023,G
Darcy Kuempe,16,8,49,3.17,434,483,0.8985507246376812,1,Taxicab Kanefessions,2023,G
Joel Hofer,1,1,1,1.01,30,31,0.967741935483871,0,Taxicab Kanefessions,2023,G
Pyotr Kochetkov,13,9,27,2.08,324,351,0.9230769230769231,2,Taxicab Kanefessions,2023,G
Frederik Andersen,5,3,13,3.13,103,116,0.8879310344827587,0,The McDadDicks,2023,G
Jacob Markstro,41,21,108,2.69,1063,1171,0.9077711357813835,2,The McDadDicks,2023,G
Semyon Varlamov,3,1,7,2.3,100,107,0.9345794392523364,1,The McDadDicks,2023,G
Carter Hart,15,8,40,2.87,389,429,0.9067599067599068,0,The McDadDicks,2023,G
Ilya Samsonov,4,2,12,3.61,96,108,0.8888888888888888,0,The McDadDicks,2023,G
Jordan Binnington,44,22,122,2.9,1264,1386,0.911976911976912,3,The McDadDicks,2023,G
Petr Mrazek,2,2,4,1.91,63,67,0.9402985074626866,0,The McDadDicks,2023,G
Alex Lyon,8,4,25,3.34,201,226,0.8893805309734514,1,The McDadDicks,2023,G
Dustin Wolf,1,0,4,4.18,28,32,0.875,0,The McDadDicks,2023,G
Calvin Pickard,1,1,2,1.9,23,25,0.92,0,The McDadDicks,2023,G
Charlie Lindgren,14,7,38,2.87,349,387,0.9018087855297158,2,The McDadDicks,2023,G
