Name,gp,wins,GA,GAA,saves,shots_against,sv_percent,shutout,manager,year,Position
Henrik Lundqvist,2,0,8,5.29,41,49,0.8367346938775511,0,Big Dirty,2019,G
Antti Raanta,1,1,0,0,31,31,1,1,Big Dirty,2019,G
Alexandar Georgiev,1,1,0,0,33,33,1,1,Big Dirty,2019,G
Tristan Jarry,16,10,41,2.55,421,462,0.9112554112554112,2,Big Dirty,2019,G
Thatcher Demko,2,1,7,3.47,57,64,0.890625,0,Big Dirty,2019,G
Joonas Korpisalo,3,1,10,3.81,81,91,0.8901098901098901,0,Big Dirty,2019,G
Alex Stalock,4,2,13,3.28,131,144,0.9097222222222222,0,Big Dirty,2019,G
Frederik Andersen,49,28,132,2.8,1373,1505,0.9122923588039867,3,Dump in the Corner,2019,G
Devan Dubnyk,4,0,17,4.81,102,119,0.8571428571428571,0,Dump in the Corner,2019,G
Mike Smith,1,1,5,5.01,27,32,0.84375,0,Dump in the Corner,2019,G
James Reimer,1,0,4,4.12,17,21,0.8095238095238095,0,Dump in the Corner,2019,G
Mikko Koskinen,12,5,29,2.67,314,343,0.9154518950437318,1,Dump in the Corner,2019,G
Alex Stalock,1,0,4,4.01,17,21,0.8095238095238095,0,Dump in the Corner,2019,G
Alexandar Georgiev,3,2,10,3.34,98,108,0.9074074074074074,0,Dump in the Corner,2019,G
Sergei Bobrovsky,25,14,67,2.75,758,825,0.9187878787878788,0,Dump in the Corner,2019,G
Pavel Francouz,1,1,1,1,37,38,0.9736842105263158,0,Dump in the Corner,2019,G
Elvis Merzlikins,13,5,28,2.25,344,372,0.9247311827956989,3,Dump in the Corner,2019,G
Anton Khudobin,2,0,4,2.04,55,59,0.9322033898305084,0,Dump in the Corner,2019,G
Braden Holtby,48,25,142,3.11,1243,1385,0.8974729241877256,0,Go Home I’m drinkin,2019,G
Robin Lehner,32,16,86,2.8,1030,1116,0.9229390681003584,1,Go Home I’m drinkin,2019,G
Joonas Korpisalo,11,6,20,1.84,290,310,0.9354838709677419,1,Go Home I’m drinkin,2019,G
Mikko Koskinen,8,3,20,2.72,250,270,0.9259259259259259,0,Go Home I’m drinkin,2019,G
Tuukka Rask,40,26,81,2.07,1084,1165,0.9304721030042918,5,Hail Satan,2019,G
Cory Schneider,4,0,15,4.08,106,121,0.8760330578512396,0,Hail Satan,2019,G
Devan Dubnyk,13,5,37,3.07,332,369,0.8997289972899729,0,Hail Satan,2019,G
Henrik Lundqvist,8,2,23,3.1,200,223,0.8968609865470852,0,Hail Satan,2019,G
Marc-Andre Fleury,34,20,85,2.55,855,940,0.9095744680851063,4,I'M BETTMEN!!!,2019,G
Matt Murray,22,12,61,2.87,518,579,0.8946459412780656,1,I'M BETTMEN!!!,2019,G
Carter Hutton,17,8,45,2.63,481,526,0.9144486692015209,2,I'M BETTMEN!!!,2019,G
Linus Ullmark,12,6,28,2.38,307,335,0.9164179104477612,0,I'M BETTMEN!!!,2019,G
Martin Jones,1,0,4,4.1,20,24,0.8333333333333334,0,I'M BETTMEN!!!,2019,G
Jack Campbell,6,3,16,2.63,173,189,0.9153439153439153,0,I'M BETTMEN!!!,2019,G
Juuse Saros,7,5,10,1.61,209,219,0.954337899543379,2,I'M BETTMEN!!!,2019,G
Martin Jones,35,14,107,3.21,866,973,0.8900308324768756,0,It Burns when I pee,2019,G
