Name,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK,manager,year,Position,center,lw,rw,defence,multi_position,GWG
Jake Guentzel,6,4,0,-2,0,1,NA,7,4,Fuck Yeah Tom Wilson,2018,"LW,RW",0,1,1,0,1,0
Mark Stone,5,1,1,-2,2,0,NA,4,1,Fuck Yeah Tom Wilson,2018,RW,0,0,1,0,0,0
John Klingberg,56,10,31,9,10,18,NA,34,69,Fuck Yeah Tom Wilson,2018,D,0,0,0,1,0,5
Zach Werenski,29,5,11,-9,8,7,NA,20,30,Fuck Yeah Tom Wilson,2018,D,0,0,0,1,0,0
Tyson Barrie,3,0,0,1,2,0,NA,0,2,Fuck Yeah Tom Wilson,2018,D,0,0,0,1,0,0
Max Domi,72,25,39,17,76,10,NA,46,33,Fuck Yeah Tom Wilson,2018,"C,LW",1,1,0,0,1,2
Evgenii Dadonov,14,5,8,-2,0,5,NA,3,14,Fuck Yeah Tom Wilson,2018,"LW,RW",0,1,1,0,1,0
Zdeno Chara,4,0,1,1,0,0,NA,4,6,Fuck Yeah Tom Wilson,2018,D,0,0,0,1,0,0
Alexander Edler,31,5,11,-1,28,7,NA,84,91,Fuck Yeah Tom Wilson,2018,D,0,0,0,1,0,2
Robert Hagg,3,0,2,2,2,0,NA,11,3,Fuck Yeah Tom Wilson,2018,D,0,0,0,1,0,0
Anders Lee,18,4,4,-1,14,4,NA,26,13,Fuck Yeah Tom Wilson,2018,LW,0,1,0,0,0,0
Jack Eichel,54,20,36,-5,18,16,NA,46,38,Fuck Yeah Tom Wilson,2018,C,1,0,0,0,0,2
Brady Skjei,1,0,0,-2,0,0,NA,2,2,Fuck Yeah Tom Wilson,2018,D,0,0,0,1,0,0
Seth Jones,68,9,33,-5,26,9,NA,100,122,Fuck Yeah Tom Wilson,2018,D,0,0,0,1,0,4
Thomas Chabot,52,10,28,-8,26,11,NA,54,91,Fuck Yeah Tom Wilson,2018,D,0,0,0,1,0,1
Jason Pominville,1,1,0,1,0,0,NA,1,0,Fuck Yeah Tom Wilson,2018,"LW,RW",0,1,1,0,1,0
Erik Gudbranson,3,1,0,0,10,0,NA,5,5,Fuck Yeah Tom Wilson,2018,D,0,0,0,1,0,0
Tom Wilson,57,22,16,14,119,5,NA,177,50,Fuck Yeah Tom Wilson,2018,RW,0,0,1,0,0,2
Neal Pionk,12,1,5,5,0,4,NA,24,12,Fuck Yeah Tom Wilson,2018,D,0,0,0,1,0,0
Max Pacioretty,5,2,3,3,0,1,NA,4,1,Fuck Yeah Tom Wilson,2018,LW,0,1,0,0,0,0
Michal Kempny,27,2,10,12,26,0,NA,32,37,Fuck Yeah Tom Wilson,2018,D,0,0,0,1,0,1
Torey Krug,40,4,27,3,10,19,NA,32,30,Fuck Yeah Tom Wilson,2018,D,0,0,0,1,0,1
Matt Niskanen,2,0,0,-2,2,0,NA,2,1,Fuck Yeah Tom Wilson,2018,D,0,0,0,1,0,0
Brandon Tanev,2,1,0,2,0,0,NA,9,0,Fuck Yeah Tom Wilson,2018,"LW,RW",0,1,1,0,1,0
Sam Reinhart,2,0,2,-2,0,0,NA,0,0,Fuck Yeah Tom Wilson,2018,"C,RW",1,0,1,0,1,0
Zach Aston-Reese,2,0,0,0,0,0,NA,3,2,Fuck Yeah Tom Wilson,2018,C,1,0,0,0,0,0
Brady Tkachuk,1,0,0,-1,2,0,NA,0,0,Fuck Yeah Tom Wilson,2018,"C,LW",1,1,0,0,1,0
Nate Schmidt,1,0,0,0,0,0,NA,0,2,Fuck Yeah Tom Wilson,2018,D,0,0,0,1,0,0
Sam Bennett,1,0,0,-2,0,0,NA,1,0,Fuck Yeah Tom Wilson,2018,C,1,0,0,0,0,0
Brandon Pirri,2,1,1,1,0,1,NA,2,0,Fuck Yeah Tom Wilson,2018,C,1,0,0,0,0,0
Kevin Fiala,3,0,2,0,0,0,NA,2,0,Fuck Yeah Tom Wilson,2018,LW,0,1,0,0,0,0
Nick Foligno,21,5,3,-4,27,2,NA,54,15,Fuck Yeah Tom Wilson,2018,"LW,RW",0,1,1,0,1,0
TJ Brodie,1,0,0,-2,0,0,NA,0,0,Fuck Yeah Tom Wilson,2018,D,0,0,0,1,0,0
Blake Coleman,1,0,0,0,2,0,NA,3,2,Fuck Yeah Tom Wilson,2018,"LW,RW",0,1,1,0,1,0
Josh Anderson,2,0,0,-1,2,0,NA,6,1,Fuck Yeah Tom Wilson,2018,RW,0,0,1,0,0,0
Nino Niederreiter,4,3,0,4,2,1,NA,2,1,Fuck Yeah Tom Wilson,2018,"LW,RW",0,1,1,0,1,1
Mats Zuccarello,9,3,7,3,2,2,NA,15,7,Fuck Yeah Tom Wilson,2018,RW,0,0,1,0,0,0
Jake Gardiner,1,0,0,-1,4,0,NA,0,0,Fuck Yeah Tom Wilson,2018,D,0,0,0,1,0,0
Micheal Ferland,11,2,3,3,7,2,NA,14,4,Fuck Yeah Tom Wilson,2018,"LW, RW",0,1,1,0,1,0
Noel Acciari,1,0,0,0,0,0,NA,3,1,Fuck Yeah Tom Wilson,2018,C,1,0,0,0,0,0
Dylan Strome,18,3,11,0,4,3,NA,2,14,Fuck Yeah Tom Wilson,2018,C,1,0,0,0,0,0
Danton Heinen,4,0,2,2,2,1,NA,2,3,Fuck Yeah Tom Wilson,2018,"C,LW",1,1,0,0,1,0
Justin Williams,9,4,1,1,4,1,NA,5,5,Fuck Yeah Tom Wilson,2018,RW,0,0,1,0,0,1
David Krejci,5,0,3,-2,0,0,NA,4,0,Fuck Yeah Tom Wilson,2018,C,1,0,0,0,0,0
Kyle Palmieri,1,0,1,0,0,0,NA,0,0,Fuck Yeah Tom Wilson,2018,RW,0,0,1,0,0,0
Jakob Silfverberg,6,3,3,2,2,2,NA,2,4,Fuck Yeah Tom Wilson,2018,RW,0,0,1,0,0,2
Brandon Montour,2,0,2,1,2,0,NA,4,2,Fuck Yeah Tom Wilson,2018,D,0,0,0,1,0,0
Shayne Gostisbehere,1,0,0,-1,4,0,NA,1,3,Fuck Yeah Tom Wilson,2018,D,0,0,0,1,0,0
Kris Letang,2,0,2,2,2,1,NA,1,5,Fuck Yeah Tom Wilson,2018,D,0,0,0,1,0,0
Erik Gustafsson,3,2,0,-1,2,0,NA,11,5,Fuck Yeah Tom Wilson,2018,D,0,0,0,1,0,0
John Tavares,74,41,41,20,30,17,NA,50,49,Good Cop Babcock,2018,C,1,0,0,0,0,6
Patrice Bergeron,33,16,24,7,20,15,NA,27,30,Good Cop Babcock,2018,C,1,0,0,0,0,1
Patrick Marleau,33,8,8,0,10,4,NA,27,20,Good Cop Babcock,2018,"C,LW",1,1,0,0,1,3
David Backes,5,0,0,0,2,0,NA,8,3,Good Cop Babcock,2018,RW,0,0,1,0,0,0
John Carlson,75,12,53,19,34,31,NA,49,157,Good Cop Babcock,2018,D,0,0,0,1,0,1
Max Pacioretty,18,5,2,-11,10,1,NA,35,5,Good Cop Babcock,2018,LW,0,1,0,0,0,0
Gabriel Landeskog,66,33,34,11,45,25,NA,114,56,Good Cop Babcock,2018,"C,LW",1,1,0,0,1,9
Patrick Kane,71,38,60,-3,22,28,NA,20,16,Good Cop Babcock,2018,RW,0,0,1,0,0,7
Kris Letang,58,14,36,11,34,17,NA,104,98,Good Cop Babcock,2018,D,0,0,0,1,0,3
Ryan Ellis,73,6,29,22,20,5,NA,65,140,Good Cop Babcock,2018,D,0,0,0,1,0,1
Rasmus Dahlin,11,1,1,-2,4,0,NA,14,8,Good Cop Babcock,2018,D,0,0,0,1,0,1
Ilya Kovalchuk,21,5,9,-11,4,6,NA,14,8,Good Cop Babcock,2018,RW,0,0,1,0,0,0
Dion Phaneuf,14,0,0,-11,13,0,NA,32,24,Good Cop Babcock,2018,D,0,0,0,1,0,0
Brayden Point,67,34,45,24,22,30,NA,27,34,Good Cop Babcock,2018,C,1,0,0,0,0,6
Kevin Fiala,7,1,4,1,4,1,NA,2,1,Good Cop Babcock,2018,LW,0,1,0,0,0,0
Zach Hyman,47,16,9,9,57,0,NA,64,24,Good Cop Babcock,2018,C,1,0,0,0,0,3
Darnell Nurse,27,2,12,-8,40,7,NA,69,51,Good Cop Babcock,2018,D,0,0,0,1,0,0
Matt Niskanen,13,1,5,1,10,1,NA,31,31,Good Cop Babcock,2018,D,0,0,0,1,0,0
Nikolaj Ehlers,35,14,11,7,6,5,NA,12,8,Good Cop Babcock,2018,"LW,RW",0,1,1,0,1,3
Jason Zucker,10,2,2,-5,4,3,NA,7,8,Good Cop Babcock,2018,"LW,RW",0,1,1,0,1,1
Jake Gardiner,18,0,9,8,10,1,NA,19,21,Good Cop Babcock,2018,D,0,0,0,1,0,0
Bryan Rust,2,0,2,2,0,0,NA,1,0,Good Cop Babcock,2018,RW,0,0,1,0,0,0
Boone Jenner,8,0,3,0,0,0,NA,15,7,Good Cop Babcock,2018,"C,LW",1,1,0,0,1,0
Sam Reinhart,1,0,0,-2,0,0,NA,2,0,Good Cop Babcock,2018,"C,RW",1,0,1,0,1,0
Craig Smith,3,0,1,3,0,1,NA,1,3,Good Cop Babcock,2018,RW,0,0,1,0,0,0
Josh Anderson,22,4,11,1,14,2,NA,56,15,Good Cop Babcock,2018,RW,0,0,1,0,0,1
Brendan Gallagher,26,15,9,12,10,2,NA,46,7,Good Cop Babcock,2018,RW,0,0,1,0,0,1
Micheal Ferland,2,0,0,-3,7,0,NA,6,0,Good Cop Babcock,2018,"LW, RW",0,1,1,0,1,0
Nikita Zadorov,24,2,1,2,30,0,NA,86,30,Good Cop Babcock,2018,D,0,0,0,1,0,0
Kris Russell,1,0,0,-1,0,0,NA,1,2,Good Cop Babcock,2018,D,0,0,0,1,0,0
Charlie Coyle,1,0,0,-1,0,0,NA,0,1,Good Cop Babcock,2018,"C,RW",1,0,1,0,1,0
Brandon Tanev,2,0,0,-3,0,0,NA,7,3,Good Cop Babcock,2018,"LW,RW",0,1,1,0,1,0
Andrei Svechnikov,7,4,1,7,2,0,NA,10,3,Good Cop Babcock,2018,"LW,RW",0,1,1,0,1,1
Nino Niederreiter,2,1,1,2,0,1,NA,1,0,Good Cop Babcock,2018,"LW,RW",0,1,1,0,1,0
Morgan Rielly,17,5,6,4,8,3,NA,16,31,Good Cop Babcock,2018,D,0,0,0,1,0,0
Justin Faulk,3,0,2,0,0,0,NA,9,3,Good Cop Babcock,2018,D,0,0,0,1,0,0
Blake Coleman,3,1,0,-2,8,0,NA,5,4,Good Cop Babcock,2018,"LW,RW",0,1,1,0,1,0
Radko Gudas,7,1,3,-2,8,0,NA,25,14,Good Cop Babcock,2018,D,0,0,0,1,0,0
Dmitry Orlov,1,0,0,1,0,0,NA,2,1,Good Cop Babcock,2018,D,0,0,0,1,0,0
Bo Horvat,66,21,26,-6,18,14,NA,49,54,Good ontariyah boys,2018,C,1,0,0,0,0,1
Johnny Gaudreau,65,26,52,15,20,24,NA,7,7,Good ontariyah boys,2018,LW,0,1,0,0,0,6
Sean Couturier,58,20,34,-4,22,12,NA,31,47,Good ontariyah boys,2018,C,1,0,0,0,0,3
James van Riemsdyk,45,19,12,-9,12,8,NA,22,12,Good ontariyah boys,2018,LW,0,1,0,0,0,4
Anthony Mantha,10,1,2,-12,6,2,NA,13,2,Good ontariyah boys,2018,"LW,RW",0,1,1,0,1,0
Patrik Laine,73,26,19,-20,36,22,NA,60,42,Good ontariyah boys,2018,"LW,RW",0,1,1,0,1,2
Alexander Radulov,48,20,27,17,40,14,NA,45,60,Good ontariyah boys,2018,RW,0,0,1,0,0,5
P.K. Subban,57,7,18,-3,54,8,NA,51,65,Good ontariyah boys,2018,D,0,0,0,1,0,1
Alex Pietrangelo,64,13,22,3,22,12,NA,56,121,Good ontariyah boys,2018,D,0,0,0,1,0,2
Tyler Myers,73,9,18,13,59,6,NA,86,94,Good ontariyah boys,2018,D,0,0,0,1,0,3
