Name,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK,manager,year,Position,center,lw,rw,defence,multi_position,GWG
Sean Monahan,72,29,45,7,10,21,NA,32,22,Monahan Jobs,2018,C,1,0,0,0,0,4
Nazem Kadri,42,11,15,1,27,8,NA,42,6,Monahan Jobs,2018,C,1,0,0,0,0,4
Mark Giordano,73,16,54,37,65,21,NA,51,139,Monahan Jobs,2018,D,0,0,0,1,0,2
Josh Manson,44,3,6,-1,41,0,NA,123,54,Monahan Jobs,2018,D,0,0,0,1,0,0
Brayden Schenn,39,7,19,1,19,6,NA,59,14,Monahan Jobs,2018,"C,LW",1,1,0,0,1,2
Jamie Benn,69,26,24,15,56,10,NA,121,64,Monahan Jobs,2018,"C,LW",1,1,0,0,1,1
Kyle Connor,72,32,29,-3,14,18,NA,8,16,Monahan Jobs,2018,LW,0,1,0,0,0,4
Blake Wheeler,70,18,66,4,54,32,NA,65,50,Monahan Jobs,2018,RW,0,0,1,0,0,3
Wayne Simmonds,59,16,7,-19,88,8,NA,110,19,Monahan Jobs,2018,RW,0,0,1,0,0,2
Nikita Zadorov,35,3,2,10,39,0,NA,103,22,Monahan Jobs,2018,D,0,0,0,1,0,0
Brayden McNabb,9,0,0,0,2,0,NA,26,12,Monahan Jobs,2018,D,0,0,0,1,0,0
Radko Gudas,61,2,13,9,47,0,NA,196,106,Monahan Jobs,2018,D,0,0,0,1,0,0
Max Comtois,1,0,0,-1,0,0,NA,3,2,Monahan Jobs,2018,C,1,0,0,0,0,0
Milan Lucic,43,2,7,-6,53,2,NA,153,6,Monahan Jobs,2018,LW,0,1,0,0,0,0
Jordan Staal,4,0,0,-4,2,0,NA,6,2,Monahan Jobs,2018,"C,LW",1,1,0,0,1,0
David Perron,36,12,13,2,36,6,NA,38,10,Monahan Jobs,2018,"LW,RW",0,1,1,0,1,0
Rickard Rakell,30,8,11,-10,8,4,NA,23,11,Monahan Jobs,2018,"LW, RW",0,1,1,0,1,0
Jake Muzzin,29,4,13,9,16,3,NA,53,43,Monahan Jobs,2018,D,0,0,0,1,0,1
Vincent Trocheck,25,3,5,-8,20,2,NA,47,18,Monahan Jobs,2018,C,1,0,0,0,0,0
Colin Miller,7,0,2,-1,2,1,NA,14,9,Monahan Jobs,2018,D,0,0,0,1,0,0
Erik Gustafsson,15,3,12,-6,6,5,NA,18,22,Monahan Jobs,2018,D,0,0,0,1,0,0
Tomas Tatar,14,6,3,5,4,0,NA,16,7,Monahan Jobs,2018,"LW,RW",0,1,1,0,1,1
Anders Lee,8,3,0,0,6,0,NA,12,6,Monahan Jobs,2018,LW,0,1,0,0,0,1
Darnell Nurse,15,1,7,4,12,1,NA,33,23,Monahan Jobs,2018,D,0,0,0,1,0,0
Kevin Hayes,3,2,3,4,0,0,NA,0,1,Monahan Jobs,2018,C,1,0,0,0,0,0
Patric Hornqvist,6,1,1,-1,2,1,NA,12,2,Monahan Jobs,2018,RW,0,0,1,0,0,0
Justin Schultz,8,0,2,-2,2,1,NA,11,14,Monahan Jobs,2018,D,0,0,0,1,0,0
Cam Fowler,8,1,4,1,0,1,NA,4,11,Monahan Jobs,2018,D,0,0,0,1,0,0
Elias Lindholm,69,27,47,33,18,24,NA,71,33,No Regretzkys,2018,"C,RW",1,0,1,0,1,5
Brent Burns,74,12,63,17,30,25,NA,78,93,No Regretzkys,2018,D,0,0,0,1,0,5
Cam Fowler,33,3,8,-11,18,1,NA,16,62,No Regretzkys,2018,D,0,0,0,1,0,1
Evgeni Malkin,57,14,43,-21,75,21,NA,44,24,No Regretzkys,2018,C,1,0,0,0,0,3
Mark Scheifele,73,34,43,12,38,21,NA,46,49,No Regretzkys,2018,C,1,0,0,0,0,6
Jeff Skinner,62,32,19,-8,26,15,NA,22,17,No Regretzkys,2018,"C,LW",1,1,0,0,1,6
Pierre-Luc Dubois,65,20,24,4,52,8,NA,81,45,No Regretzkys,2018,C,1,0,0,0,0,2
Mikko Rantanen,69,30,53,8,52,32,NA,55,39,No Regretzkys,2018,RW,0,0,1,0,0,4
Shayne Gostisbehere,44,5,13,-11,8,7,NA,29,62,No Regretzkys,2018,D,0,0,0,1,0,2
Oliver Ekman-Larsson,74,11,27,-19,46,17,NA,149,47,No Regretzkys,2018,D,0,0,0,1,0,2
Rasmus Ristolainen,74,5,34,-42,36,14,NA,218,119,No Regretzkys,2018,D,0,0,0,1,0,2
Mike Hoffman,67,27,31,-21,22,29,NA,34,23,No Regretzkys,2018,"LW,RW",0,1,1,0,1,4
Ryan O'Reilly,52,18,30,17,4,15,NA,21,24,No Regretzkys,2018,C,1,0,0,0,0,3
J.T. Miller,48,8,19,11,22,11,NA,66,18,No Regretzkys,2018,"LW,RW",0,1,1,0,1,3
Scott Mayfield,17,0,6,4,15,0,NA,27,31,No Regretzkys,2018,D,0,0,0,1,0,0
Blake Coleman,7,1,1,-1,6,0,NA,22,2,No Regretzkys,2018,"LW,RW",0,1,1,0,1,0
Justin Faulk,9,2,1,5,6,2,NA,12,17,No Regretzkys,2018,D,0,0,0,1,0,0
Joel Edmundson,6,0,2,1,8,0,NA,9,9,No Regretzkys,2018,D,0,0,0,1,0,0
Brandon Tanev,10,0,1,0,2,0,NA,41,10,No Regretzkys,2018,"LW,RW",0,1,1,0,1,0
Mikhail Sergachev,3,0,0,-2,4,0,NA,2,6,No Regretzkys,2018,D,0,0,0,1,0,0
Brock Boeser,4,1,1,-3,2,1,NA,0,1,Sugar Kane,2018,RW,0,0,1,0,0,1
Morgan Rielly,56,14,39,21,4,16,NA,38,70,Sugar Kane,2018,D,0,0,0,1,0,5
Michael Del Zotto,2,0,0,0,0,0,NA,6,3,Sugar Kane,2018,D,0,0,0,1,0,0
Jonathan Marchessault,70,24,27,-2,38,15,NA,88,18,Sugar Kane,2018,"C,LW",1,1,0,0,1,5
Nathan MacKinnon,59,28,46,14,26,27,NA,38,19,Sugar Kane,2018,C,1,0,0,0,0,3
Reilly Smith,26,5,6,-2,2,5,NA,11,12,Sugar Kane,2018,RW,0,0,1,0,0,1
Jaden Schwartz,3,0,0,-4,2,0,NA,5,3,Sugar Kane,2018,LW,0,1,0,0,0,0
Phil Kessel,75,24,50,-21,28,33,NA,11,17,Sugar Kane,2018,RW,0,0,1,0,0,9
Craig Smith,1,0,1,1,0,0,NA,1,1,Sugar Kane,2018,RW,0,0,1,0,0,0
Alec Martinez,16,1,4,0,2,0,NA,27,32,Sugar Kane,2018,D,0,0,0,1,0,1
Ryan Nugent-Hopkins,1,0,0,0,0,0,NA,0,0,Sugar Kane,2018,"LW,C",1,1,0,0,1,0
Taylor Hall,33,11,26,-6,16,12,NA,22,29,Sugar Kane,2018,LW,0,1,0,0,0,3
Jakob Silfverberg,3,2,0,2,2,0,NA,1,1,Sugar Kane,2018,RW,0,0,1,0,0,0
Elias Pettersson,60,23,33,4,8,17,NA,39,42,Sugar Kane,2018,C,1,0,0,0,0,6
Viktor Arvidsson,47,27,12,7,20,2,NA,15,19,Sugar Kane,2018,"LW,RW",0,1,1,0,1,4
Jeff Petry,73,11,27,-15,28,11,NA,177,111,Sugar Kane,2018,D,0,0,0,1,0,3
Tomas Tatar,11,5,1,-3,0,1,NA,10,2,Sugar Kane,2018,"LW,RW",0,1,1,0,1,1
Mark Borowiecki,2,0,0,-1,0,0,NA,10,4,Sugar Kane,2018,D,0,0,0,1,0,0
Josh Morrissey,48,5,18,11,12,7,NA,47,82,Sugar Kane,2018,D,0,0,0,1,0,2
Rickard Rakell,1,0,1,0,0,0,NA,0,1,Sugar Kane,2018,"LW, RW",0,1,1,0,1,0
Mark Stone,7,1,4,2,2,3,NA,7,5,Sugar Kane,2018,RW,0,0,1,0,0,0
Patric Hornqvist,27,7,7,-4,2,3,NA,42,12,Sugar Kane,2018,RW,0,0,1,0,0,1
Patrik Nemeth,2,0,0,-1,5,0,NA,3,2,Sugar Kane,2018,D,0,0,0,1,0,0
Eric Staal,20,5,7,-2,4,4,NA,9,4,Sugar Kane,2018,C,1,0,0,0,0,0
Dustin Brown,21,8,8,6,6,3,NA,47,9,Sugar Kane,2018,"LW,RW",0,1,1,0,1,1
Jamie Oleksiak,2,0,0,-1,7,0,NA,8,0,Sugar Kane,2018,D,0,0,0,1,0,0
Nikolaj Ehlers,1,1,0,2,0,0,NA,0,0,Sugar Kane,2018,"LW,RW",0,1,1,0,1,1
Boone Jenner,10,1,0,-5,8,0,NA,23,8,Sugar Kane,2018,"C,LW",1,1,0,0,1,1
Dustin Byfuglien,20,2,14,0,36,8,NA,33,25,Sugar Kane,2018,D,0,0,0,1,0,0
Brenden Dillon,2,0,0,0,0,0,NA,1,0,Sugar Kane,2018,D,0,0,0,1,0,0
Kris Russell,11,1,1,2,2,0,NA,21,28,Sugar Kane,2018,D,0,0,0,1,0,0
Kasperi Kapanen,6,0,3,-2,5,1,NA,6,3,Sugar Kane,2018,RW,0,0,1,0,0,0
Anthony Mantha,1,0,0,0,0,0,NA,0,0,Sugar Kane,2018,"LW,RW",0,1,1,0,1,0
Brayden McNabb,47,4,9,22,28,0,NA,129,76,Sugar Kane,2018,D,0,0,0,1,0,1
Andy Greene,2,0,0,-2,0,0,NA,0,6,Sugar Kane,2018,D,0,0,0,1,0,0
Evgenii Dadonov,1,1,0,1,0,1,NA,0,0,Sugar Kane,2018,"LW,RW",0,1,1,0,1,0
Oscar Klefbom,1,0,0,1,2,0,NA,0,2,Sugar Kane,2018,D,0,0,0,1,0,0
Darnell Nurse,1,0,1,1,0,0,NA,1,0,Sugar Kane,2018,D,0,0,0,1,0,0
Josh Anderson,1,0,1,1,0,0,NA,2,0,Sugar Kane,2018,RW,0,0,1,0,0,0
Cedric Paquette,3,1,1,2,7,0,NA,7,1,Sugar Kane,2018,C,1,0,0,0,0,0
Brian Dumoulin,22,0,9,7,6,0,NA,39,35,Sugar Kane,2018,D,0,0,0,1,0,0
Brady Tkachuk,1,0,0,-1,0,0,NA,1,0,Sugar Kane,2018,"C,LW",1,1,0,0,1,0
Jonathan Drouin,4,1,0,-4,2,0,NA,7,0,Sugar Kane,2018,LW,0,1,0,0,0,0
Anders Lee,13,4,5,4,8,2,NA,14,10,Sugar Kane,2018,LW,0,1,0,0,0,1
Micheal Ferland,2,0,1,1,0,0,NA,4,0,Sugar Kane,2018,"LW, RW",0,1,1,0,1,0
Ryan Dzingel,6,2,4,-4,0,3,NA,6,5,Sugar Kane,2018,"LW,RW",0,1,1,0,1,1
Justin Williams,1,0,0,0,0,0,NA,0,1,Sugar Kane,2018,RW,0,0,1,0,0,0
Paul Stastny,1,0,1,-2,2,0,NA,3,0,Sugar Kane,2018,C,1,0,0,0,0,0
Andrei Svechnikov,1,0,0,-1,0,0,NA,2,0,Sugar Kane,2018,"LW,RW",0,1,1,0,1,0
Jason Zucker,1,0,1,1,0,0,NA,4,1,Sugar Kane,2018,"LW,RW",0,1,1,0,1,0
David Krejci,5,2,4,4,0,2,NA,3,1,Sugar Kane,2018,C,1,0,0,0,0,1
Nico Hischier,2,0,0,1,0,0,NA,0,0,Sugar Kane,2018,C,1,0,0,0,0,0
Patrice Bergeron,14,9,7,9,4,3,NA,6,13,Sugar Kane,2018,C,1,0,0,0,0,1
Ryan Pulock,2,0,2,-2,2,2,NA,5,4,Sugar Kane,2018,D,0,0,0,1,0,0
Tomas Hertl,13,3,5,4,4,0,NA,10,11,Sugar Kane,2018,"C,LW",1,1,0,0,1,0
Erik Karlsson,2,0,0,-2,0,0,NA,0,0,Sugar Kane,2018,D,0,0,0,1,0,0
Milan Lucic,9,0,2,3,22,0,NA,27,5,Sugar Kane,2018,LW,0,1,0,0,0,0
Nino Niederreiter,8,1,3,-7,2,0,NA,10,3,Sugar Kane,2018,"LW,RW",0,1,1,0,1,0
Mikael Backlund,6,3,4,9,6,1,NA,2,2,Sugar Kane,2018,C,1,0,0,0,0,1
Leon Draisaitl,69,43,65,-7,18,43,213,26,16,Big Dirty,2019,"C,LW",1,1,0,0,1,NA
William Karlsson,27,8,13,3,12,3,57,18,21,Big Dirty,2019,C,1,0,0,0,0,NA
Alex Pietrangelo,70,16,36,11,20,22,225,47,89,Big Dirty,2019,D,0,0,0,1,0,NA
Thomas Chabot,68,6,32,-17,42,11,179,76,85,Big Dirty,2019,D,0,0,0,1,0,NA
Sean Monahan,35,9,18,-12,12,10,88,36,11,Big Dirty,2019,C,1,0,0,0,0,NA
Nazem Kadri,38,14,10,2,68,8,102,42,9,Big Dirty,2019,C,1,0,0,0,0,NA
Matthew Tkachuk,69,23,39,-5,74,19,188,122,22,Big Dirty,2019,LW,0,1,0,0,0,NA
Milan Lucic,9,0,1,0,26,0,12,27,2,Big Dirty,2019,LW,0,1,0,0,0,NA
Viktor Arvidsson,17,4,6,0,2,3,39,9,6,Big Dirty,2019,"LW,RW",0,1,1,0,1,NA
Mikko Rantanen,37,16,17,2,14,11,95,25,23,Big Dirty,2019,RW,0,0,1,0,0,NA
Matt Dumba,51,5,13,-7,29,6,124,77,66,Big Dirty,2019,D,0,0,0,1,0,NA
Patrick Kane,67,32,49,7,40,23,266,21,18,Big Dirty,2019,RW,0,0,1,0,0,NA
Ivan Provorov,69,12,23,10,24,15,149,84,111,Big Dirty,2019,D,0,0,0,1,0,NA
Pierre-Luc Dubois,52,10,25,-8,28,7,120,57,41,Big Dirty,2019,C,1,0,0,0,0,NA
Colton Parayko,31,2,5,1,4,0,68,44,59,Big Dirty,2019,D,0,0,0,1,0,NA
Jakub Voracek,50,7,32,13,21,10,96,13,16,Big Dirty,2019,"LW,RW",0,1,1,0,1,NA
Cam Atkinson,1,0,0,0,0,0,1,0,0,Big Dirty,2019,RW,0,0,1,0,0,NA
Jared McCann,1,0,0,-1,0,0,1,0,1,Big Dirty,2019,"C,LW",1,1,0,0,1,NA
Bo Horvat,20,8,7,-9,9,4,47,18,19,Big Dirty,2019,C,1,0,0,0,0,NA
Brady Tkachuk,30,7,11,-8,73,4,104,146,20,Big Dirty,2019,LW,0,1,0,0,0,NA
Blake Coleman,10,0,1,2,18,0,22,26,7,Big Dirty,2019,"LW,RW",0,1,1,0,1,NA
Mikael Backlund,1,0,0,-4,0,0,1,0,1,Big Dirty,2019,C,1,0,0,0,0,NA
Tyler Toffoli,9,5,4,3,4,3,34,14,2,Big Dirty,2019,"C,RW",1,0,1,0,1,NA
John Tavares,63,26,34,-8,24,21,197,32,31,Dump in the Corner,2019,C,1,0,0,0,0,NA
Jake Muzzin,50,6,17,11,32,0,98,96,103,Dump in the Corner,2019,D,0,0,0,1,0,NA
Steven Stamkos,57,28,37,14,22,19,175,69,38,Dump in the Corner,2019,C,1,0,0,0,0,NA
Jonathan Drouin,1,0,1,1,0,0,1,1,0,Dump in the Corner,2019,LW,0,1,0,0,0,NA
Jake Guentzel,25,14,11,2,8,5,89,34,10,Dump in the Corner,2019,"LW,RW",0,1,1,0,1,NA
Nikolaj Ehlers,65,24,30,14,30,5,187,33,28,Dump in the Corner,2019,"LW,RW",0,1,1,0,1,NA
Brendan Gallagher,55,21,19,11,24,5,206,47,28,Dump in the Corner,2019,RW,0,0,1,0,0,NA
Yanni Gourde,7,1,2,1,6,1,13,6,3,Dump in the Corner,2019,LW,0,1,0,0,0,NA
Kris Letang,61,15,29,0,38,15,177,101,91,Dump in the Corner,2019,D,0,0,0,1,0,NA
Ryan Ellis,48,8,30,16,19,9,112,46,95,Dump in the Corner,2019,D,0,0,0,1,0,NA
Jeff Petry,68,11,27,-9,26,11,153,165,77,Dump in the Corner,2019,D,0,0,0,1,0,NA
Josh Anderson,2,0,0,-4,4,0,6,4,2,Dump in the Corner,2019,RW,0,0,1,0,0,NA
Seth Jones,22,2,12,1,8,6,45,19,52,Dump in the Corner,2019,D,0,0,0,1,0,NA
Tyler Johnson,2,1,0,0,0,0,3,2,0,Dump in the Corner,2019,"LW,RW",0,1,1,0,1,NA
James Neal,21,10,4,-11,6,8,52,19,5,Dump in the Corner,2019,RW,0,0,1,0,0,NA
David Perron,6,3,2,-1,2,3,14,7,0,Dump in the Corner,2019,"LW,RW",0,1,1,0,1,NA
Jaccob Slavin,2,0,0,0,2,0,5,0,2,Dump in the Corner,2019,D,0,0,0,1,0,NA
Adam Henrique,3,1,0,0,2,0,4,1,2,Dump in the Corner,2019,C,1,0,0,0,0,NA
Radko Gudas,9,0,4,3,2,0,10,22,17,Dump in the Corner,2019,D,0,0,0,1,0,NA
Brock Nelson,3,0,3,0,2,0,11,3,4,Dump in the Corner,2019,"C,LW",1,1,0,0,1,NA
Kasperi Kapanen,2,0,0,-1,0,0,1,7,0,Dump in the Corner,2019,RW,0,0,1,0,0,NA
Bo Horvat,8,1,4,-8,2,3,22,6,8,Dump in the Corner,2019,C,1,0,0,0,0,NA
Anders Lee,4,0,1,2,2,0,7,9,5,Dump in the Corner,2019,LW,0,1,0,0,0,NA
Ryan Reaves,5,0,1,0,2,0,4,24,2,Dump in the Corner,2019,RW,0,0,1,0,0,NA
Zack Kassian,9,4,4,-3,15,0,19,28,1,Dump in the Corner,2019,RW,0,0,1,0,0,NA
Zach Hyman,5,2,1,0,2,1,11,3,3,Dump in the Corner,2019,C,1,0,0,0,0,NA
Joonas Donskoi,6,1,0,-3,0,0,8,4,3,Dump in the Corner,2019,RW,0,0,1,0,0,NA
Michal Kempny,3,0,0,-1,0,0,0,1,3,Dump in the Corner,2019,D,0,0,0,1,0,NA
Phillip Danault,1,0,1,0,0,1,2,2,0,Dump in the Corner,2019,C,1,0,0,0,0,NA
Andre Burakovsky,13,4,5,0,6,5,22,7,6,Dump in the Corner,2019,LW,0,1,0,0,0,NA
Brian Dumoulin,3,0,1,3,0,0,3,3,2,Dump in the Corner,2019,D,0,0,0,1,0,NA
Roope Hintz,3,1,0,-1,2,0,4,4,2,Dump in the Corner,2019,LW,0,1,0,0,0,NA
Nick Suzuki,2,0,0,-4,0,0,3,2,0,Dump in the Corner,2019,C,1,0,0,0,0,NA
Jake DeBrusk,11,2,5,3,4,0,26,5,1,Dump in the Corner,2019,"LW,RW",0,1,1,0,1,NA
Brayden Point,46,16,29,26,6,9,98,14,20,Dump in the Corner,2019,C,1,0,0,0,0,NA
Ondrej Palat,1,0,0,0,0,0,4,5,0,Dump in the Corner,2019,LW,0,1,0,0,0,NA
Morgan Rielly,19,0,7,4,4,2,55,20,32,Dump in the Corner,2019,D,0,0,0,1,0,NA
Jared Spurgeon,1,0,1,-1,0,1,2,0,5,Dump in the Corner,2019,D,0,0,0,1,0,NA
Cam Atkinson,10,4,1,1,2,1,29,2,5,Dump in the Corner,2019,RW,0,0,1,0,0,NA
Brendan Lemieux,2,0,0,-2,5,0,3,7,3,Dump in the Corner,2019,LW,0,1,0,0,0,NA
Ian Cole,1,0,0,0,0,0,2,1,1,Dump in the Corner,2019,D,0,0,0,1,0,NA
Max Domi,24,6,9,-1,15,3,61,11,4,Dump in the Corner,2019,"C,LW",1,1,0,0,1,NA
Jonathan Toews,4,1,2,-3,0,0,9,1,2,Dump in the Corner,2019,C,1,0,0,0,0,NA
Samuel Girard,6,0,3,-2,0,1,11,5,3,Dump in the Corner,2019,D,0,0,0,1,0,NA
Tony DeAngelo,3,0,3,4,2,0,5,6,2,Dump in the Corner,2019,D,0,0,0,1,0,NA
Noel Acciari,4,1,0,-1,0,0,3,8,11,Dump in the Corner,2019,C,1,0,0,0,0,NA
Reilly Smith,2,0,1,1,0,0,2,1,1,Dump in the Corner,2019,RW,0,0,1,0,0,NA
Justin Faulk,4,0,0,-3,2,0,6,3,7,Dump in the Corner,2019,D,0,0,0,1,0,NA
Jared McCann,4,0,1,-2,0,0,6,6,2,Dump in the Corner,2019,"C,LW",1,1,0,0,1,NA
Joe Pavelski,7,1,2,3,2,0,9,8,9,Dump in the Corner,2019,"C,RW",1,0,1,0,1,NA
Ryan Dzingel,6,1,1,1,0,1,7,2,4,Dump in the Corner,2019,"LW,RW",0,1,1,0,1,NA
Craig Smith,2,0,0,-1,0,0,5,7,2,Dump in the Corner,2019,RW,0,0,1,0,0,NA
Esa Lindell,19,1,5,-1,2,2,25,31,40,Dump in the Corner,2019,D,0,0,0,1,0,NA
Rasmus Sandin,3,0,2,1,2,1,4,8,2,Dump in the Corner,2019,D,0,0,0,1,0,NA
Oliver Bjorkstrand,11,7,4,6,2,1,31,12,1,Dump in the Corner,2019,RW,0,0,1,0,0,NA
Frank Vatrano,1,0,0,0,0,0,0,1,0,Dump in the Corner,2019,"LW, RW",0,1,1,0,1,NA
Adam Fox,3,0,0,3,0,0,10,0,8,Dump in the Corner,2019,D,0,0,0,1,0,NA
Anthony Cirelli,1,0,0,0,0,0,4,1,0,Dump in the Corner,2019,C,1,0,0,0,0,NA
Jason Zucker,15,6,6,-1,2,3,36,18,3,Dump in the Corner,2019,"LW,RW",0,1,1,0,1,NA
Kevin Fiala,2,0,0,-3,2,0,7,2,1,Dump in the Corner,2019,LW,0,1,0,0,0,NA
Colton Parayko,14,3,5,5,4,0,44,21,17,Dump in the Corner,2019,D,0,0,0,1,0,NA
William Karlsson,3,1,1,1,0,0,8,1,2,Dump in the Corner,2019,C,1,0,0,0,0,NA
Mikael Backlund,6,2,5,0,0,1,20,9,0,Dump in the Corner,2019,C,1,0,0,0,0,NA
Alec Martinez,4,0,0,0,2,0,7,4,11,Dump in the Corner,2019,D,0,0,0,1,0,NA
Alex DeBrincat,5,2,3,3,2,2,20,0,1,Dump in the Corner,2019,"LW,RW",0,1,1,0,1,NA
Zach Parise,3,1,2,-1,0,1,10,0,2,Dump in the Corner,2019,LW,0,1,0,0,0,NA
Erik Cernak,1,0,0,0,2,0,2,6,2,Dump in the Corner,2019,D,0,0,0,1,0,NA
Brayden Schenn,66,23,28,3,42,18,133,109,21,Go Home I’m drinkin,2019,"C,LW",1,1,0,0,1,NA
Shea Theodore,69,13,31,12,23,15,216,20,68,Go Home I’m drinkin,2019,D,0,0,0,1,0,NA
Sebastian Aho,63,34,26,7,24,16,190,46,17,Go Home I’m drinkin,2019,C,1,0,0,0,0,NA
Johnny Gaudreau,61,17,35,-9,12,17,192,1,11,Go Home I’m drinkin,2019,LW,0,1,0,0,0,NA
Nino Niederreiter,15,2,5,-6,12,2,29,12,6,Go Home I’m drinkin,2019,"LW,RW",0,1,1,0,1,NA
David Pastrnak,66,44,46,17,38,38,258,44,20,Go Home I’m drinkin,2019,RW,0,0,1,0,0,NA
Patric Hornqvist,14,4,5,3,6,2,37,30,12,Go Home I’m drinkin,2019,RW,0,0,1,0,0,NA
Rasmus Ristolainen,69,6,27,-2,46,9,128,203,82,Go Home I’m drinkin,2019,D,0,0,0,1,0,NA
Mattias Ekholm,58,8,22,7,28,4,129,41,83,Go Home I’m drinkin,2019,D,0,0,0,1,0,NA
Mathew Barzal,58,16,31,0,42,8,148,19,38,Go Home I’m drinkin,2019,C,1,0,0,0,0,NA
Jakub Voracek,4,2,1,-3,2,2,13,1,1,Go Home I’m drinkin,2019,"LW,RW",0,1,1,0,1,NA
Ryan Pulock,67,10,25,8,14,8,160,108,135,Go Home I’m drinkin,2019,D,0,0,0,1,0,NA
Shayne Gostisbehere,2,0,0,1,2,0,2,1,1,Go Home I’m drinkin,2019,D,0,0,0,1,0,NA
Filip Forsberg,57,20,23,-5,27,14,170,74,24,Go Home I’m drinkin,2019,LW,0,1,0,0,0,NA
Neal Pionk,18,0,7,3,4,4,37,37,17,Go Home I’m drinkin,2019,D,0,0,0,1,0,NA
Brock Boeser,34,10,11,4,12,5,109,18,8,Go Home I’m drinkin,2019,RW,0,0,1,0,0,NA
David Perron,54,18,25,2,34,20,121,47,18,Go Home I’m drinkin,2019,"LW,RW",0,1,1,0,1,NA
Ryan Reaves,11,1,1,1,8,0,9,48,3,Go Home I’m drinkin,2019,RW,0,0,1,0,0,NA
Quinn Hughes,31,3,20,-10,14,10,56,3,22,Go Home I’m drinkin,2019,D,0,0,0,1,0,NA
Josh Bailey,11,3,3,-2,0,0,12,2,6,Go Home I’m drinkin,2019,RW,0,0,1,0,0,NA
Ryan O'Reilly,37,5,25,10,6,10,63,9,25,Hail Satan,2019,C,1,0,0,0,0,NA
Connor McDavid,57,30,52,-8,28,38,184,28,16,Hail Satan,2019,C,1,0,0,0,0,NA
William Nylander,66,29,29,-3,12,17,182,8,13,Hail Satan,2019,"C,RW",1,0,1,0,1,NA
Ryan Getzlaf,37,7,18,-9,31,5,83,66,39,Hail Satan,2019,C,1,0,0,0,0,NA
Patrice Bergeron,55,26,24,26,18,17,183,41,41,Hail Satan,2019,C,1,0,0,0,0,NA
Gabriel Landeskog,49,19,20,-5,47,14,129,80,33,Hail Satan,2019,"C,LW",1,1,0,0,1,NA
Teuvo Teravainen,65,15,46,19,8,21,178,16,28,Hail Satan,2019,"LW,RW",0,1,1,0,1,NA
Kaapo Kakko,20,4,5,-12,4,5,32,7,3,Hail Satan,2019,RW,0,0,1,0,0,NA
Alex Killorn,2,0,2,2,0,1,3,0,1,Hail Satan,2019,"C,LW",1,1,0,0,1,NA
Charlie McAvoy,66,4,26,22,41,2,99,127,130,Hail Satan,2019,D,0,0,0,1,0,NA
Ryan Suter,66,7,38,-8,12,17,107,46,87,Hail Satan,2019,D,0,0,0,1,0,NA
Kevin Labanc,56,12,16,-28,24,7,139,38,21,Hail Satan,2019,"LW,RW",0,1,1,0,1,NA
P.K. Subban,66,7,9,-22,77,5,148,87,89,Hail Satan,2019,D,0,0,0,1,0,NA
Drew Doughty,65,7,27,-20,34,14,136,104,84,Hail Satan,2019,D,0,0,0,1,0,NA
Tyler Bertuzzi,58,14,20,-28,38,11,108,63,26,Hail Satan,2019,LW,0,1,0,0,0,NA
Andreas Johnsson,11,1,2,-1,2,1,23,12,4,Hail Satan,2019,LW,0,1,0,0,0,NA
Anders Lee,34,11,14,0,33,4,109,41,25,Hail Satan,2019,LW,0,1,0,0,0,NA
Zach Sanford,5,0,0,0,4,0,9,4,6,Hail Satan,2019,LW,0,1,0,0,0,NA
Jonathan Marchessault,13,2,6,-2,4,3,48,22,1,I'M BETTMEN!!!,2019,"C,LW",1,1,0,0,1,NA
Max Pacioretty,68,30,33,17,44,18,295,87,34,I'M BETTMEN!!!,2019,LW,0,1,0,0,0,NA
Mitchell Marner,54,16,51,7,16,24,148,21,31,I'M BETTMEN!!!,2019,RW,0,0,1,0,0,NA
Adam Larsson,21,0,2,-12,17,0,22,30,42,I'M BETTMEN!!!,2019,D,0,0,0,1,0,NA
Nathan MacKinnon,69,35,58,14,12,31,318,51,31,I'M BETTMEN!!!,2019,C,1,0,0,0,0,NA
Matt Duchene,54,11,26,0,24,9,105,38,17,I'M BETTMEN!!!,2019,C,1,0,0,0,0,NA
Tomas Tatar,57,20,33,4,36,11,138,58,19,I'M BETTMEN!!!,2019,"LW,RW",0,1,1,0,1,NA
Jake DeBrusk,8,0,2,2,0,0,13,2,2,I'M BETTMEN!!!,2019,"LW,RW",0,1,1,0,1,NA
Joe Pavelski,32,7,9,4,14,5,63,27,25,I'M BETTMEN!!!,2019,"C,RW",1,0,1,0,1,NA
Dougie Hamilton,47,14,26,30,32,12,170,52,63,I'M BETTMEN!!!,2019,D,0,0,0,1,0,NA
Jacob Trouba,70,7,20,-12,61,8,168,173,128,I'M BETTMEN!!!,2019,D,0,0,0,1,0,NA
Wayne Simmonds,31,4,8,-9,26,4,71,72,13,I'M BETTMEN!!!,2019,RW,0,0,1,0,0,NA
Robert Hagg,1,0,1,1,0,0,1,0,3,I'M BETTMEN!!!,2019,D,0,0,0,1,0,NA
Jake Gardiner,11,1,2,-2,2,0,11,10,13,I'M BETTMEN!!!,2019,D,0,0,0,1,0,NA
Colin Miller,15,0,3,-4,2,2,25,27,12,I'M BETTMEN!!!,2019,D,0,0,0,1,0,NA
